timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1725639541.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639541.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639542.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639543.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639544.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639545.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639546.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639546.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639546.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639546.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639546.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639546.5344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639546.6344962,1,0,0,0,0,0,0,0,0,0,0,-1
