split,sequence,case,method,B_failures,visible_B_failures,invisible_B_failures,accepted,correct,wrong,invisible_accepted,visible_localization_error,correct_visible_rate,precision,invisible_error_rate,S0_correct,S0_correct_retention,correct_rate_delta_C0,correct_rate_delta_C1,original_S_only_correct,original_S_only_correct_retained,invisible_OUT_OF_FOV,accepted_OUT_OF_FOV,invisible_IMAGE_BORDER_GUARD,accepted_IMAGE_BORDER_GUARD,invisible_ARTIFICIAL_OCCLUSION,accepted_ARTIFICIAL_OCCLUSION,invisible_OCCLUSION_PATCH_GUARD,accepted_OCCLUSION_PATCH_GUARD,invisible_Unknown,accepted_Unknown,new_reject_UNRESOLVED_PATCH_OUTSIDE,new_reject_UNRESOLVED_NONFINITE_COORDINATE,new_reject_UNRESOLVED_NONFINITE_PATCH,new_reject_UNRESOLVED_LOW_VARIANCE,new_reject_NCC_BELOW_THRESHOLD
all,A02,small,C1,10,5,5,0,0,0,0,0,0.0,,0.0,5,,0.0,0.0,5,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
all,A02,small,SU,10,5,5,5,5,0,0,0,1.0,1.0,0.0,5,1.0,1.0,1.0,5,5,0,0,5,0,0,0,0,0,0,0,,,,,
all,A02,large,S0,1292,1224,68,1226,1224,2,2,0,1.0,0.99836867862969,0.029411764705882353,1224,1.0,0.565359477124183,0.565359477124183,692,692,53,0,15,2,0,0,0,0,0,0,,,,,
all,A02,large,S1,1292,1224,68,1221,1219,2,2,0,0.9959150326797386,0.9983619983619983,0.029411764705882353,1224,0.9959150326797386,0.5612745098039216,0.5612745098039216,692,687,53,0,15,2,0,0,0,0,0,0,5,0,0,0,0
all,A02,large,C0,1292,1224,68,532,532,0,0,0,0.434640522875817,1.0,0.0,1224,,0.0,0.0,692,,53,0,15,0,0,0,0,0,0,0,,,,,
all,A02,large,C1,1292,1224,68,532,532,0,0,0,0.434640522875817,1.0,0.0,1224,,0.0,0.0,692,,53,0,15,0,0,0,0,0,0,0,0,0,0,0,0
all,A02,large,SU,1292,1224,68,1217,1215,2,2,0,0.9926470588235294,0.9983566146261298,0.029411764705882353,1224,0.9926470588235294,0.5580065359477124,0.5580065359477124,692,683,53,0,15,2,0,0,0,0,0,0,,,,,
all,A02,illumination_blur,S0,293,287,6,287,287,0,0,0,1.0,1.0,0.0,287,1.0,0.554006968641115,0.554006968641115,157,157,3,0,3,0,0,0,0,0,0,0,,,,,
all,A02,illumination_blur,S1,293,287,6,281,281,0,0,0,0.9790940766550522,1.0,0.0,287,0.9790940766550522,0.5331010452961672,0.5331010452961672,157,151,3,0,3,0,0,0,0,0,0,0,5,0,0,0,1
all,A02,illumination_blur,C0,293,287,6,131,128,3,1,2,0.445993031358885,0.9770992366412213,0.16666666666666666,287,,0.0,0.0,157,,3,0,3,1,0,0,0,0,0,0,,,,,
all,A02,illumination_blur,C1,293,287,6,130,128,2,1,1,0.445993031358885,0.9846153846153847,0.16666666666666666,287,,0.0,0.0,157,,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1
all,A02,illumination_blur,SU,293,287,6,287,287,0,0,0,1.0,1.0,0.0,287,1.0,0.554006968641115,0.554006968641115,157,157,3,0,3,0,0,0,0,0,0,0,,,,,
all,A02,outside_occluded,S0,1180,790,390,975,789,186,186,0,0.9987341772151899,0.8092307692307692,0.47692307692307695,789,1.0,0.10632911392405063,0.10632911392405063,85,85,35,0,16,1,320,166,19,19,0,0,,,,,
all,A02,outside_occluded,S1,1180,790,390,798,789,9,9,0,0.9987341772151899,0.9887218045112782,0.023076923076923078,789,1.0,0.10632911392405063,0.10632911392405063,85,85,35,0,16,1,320,0,19,8,0,0,0,0,0,0,177
all,A02,outside_occluded,C0,1180,790,390,735,705,30,30,0,0.8924050632911392,0.9591836734693877,0.07692307692307693,789,,0.0,0.0,85,,35,0,16,1,320,22,19,7,0,0,,,,,
all,A02,outside_occluded,C1,1180,790,390,709,705,4,4,0,0.8924050632911392,0.9943582510578279,0.010256410256410256,789,,0.0,0.0,85,,35,0,16,1,320,0,19,3,0,0,0,0,0,0,26
all,A02,outside_occluded,SU,1180,790,390,802,766,36,36,0,0.9696202531645569,0.9551122194513716,0.09230769230769231,789,0.9708491761723701,0.07721518987341772,0.07721518987341772,85,75,35,0,16,1,320,27,19,8,0,0,,,,,
all,A08,ALL,S0,2639,2040,599,2063,2037,26,26,0,0.9985294117647059,0.9873969946679593,0.04340567612687813,2037,1.0,0.675,0.675,1367,1367,186,0,49,0,343,12,21,14,0,0,,,,,
all,A08,ALL,S1,2639,2040,599,2026,2019,7,7,0,0.9897058823529412,0.9965449160908193,0.011686143572621035,2037,0.9911634756995582,0.6661764705882353,0.6661764705882353,1367,1349,186,0,49,0,343,0,21,7,0,0,18,0,0,0,19
all,A08,ALL,C0,2639,2040,599,684,660,24,14,10,0.3235294117647059,0.9649122807017544,0.02337228714524207,2037,,0.0,0.0,1367,,186,0,49,0,343,10,21,4,0,0,,,,,
all,A08,ALL,C1,2639,2040,599,666,660,6,2,4,0.3235294117647059,0.990990990990991,0.00333889816360601,2037,,0.0,0.0,1367,,186,0,49,0,343,0,21,2,0,0,0,0,0,0,18
all,A08,ALL,SU,2639,2040,599,1946,1943,3,3,0,0.9524509803921568,0.9984583761562179,0.005008347245409015,2037,0.9538537064310261,0.628921568627451,0.628921568627451,1367,1290,186,0,49,0,343,1,21,2,0,0,,,,,
