dataset,window,profile,quality_contract,arm,replay,scientific_unit,technical_repeat,g0_ape_rmse_m,g0_rpe_rmse_m,g0_matched_poses,g0_rpe_pairs,legacy_ape_rmse_m,legacy_rpe_rmse_m,output_coverage,first_output_delay_s,init_success,solver_failures,failure_mentions,g0_ape_valid,g0_rpe_valid,trajectory_sha256,source_artifact,g0_source_artifact
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,learned,2,NTNU_fjord1_s83_d30_event,True,55.855043610979706,10.599716384938587,269,259,55.147791,11.304653,0.950623,1.390228,1,0,0,True,True,86cf4eb0997b1d4e2bc2d766676ba154a7981bc340106a776686df63ff636ffe,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_learned_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,learned,3,NTNU_fjord1_s83_d30_event,True,55.855043610979706,10.599716384938587,269,259,55.147791,11.304653,0.950623,1.390228,1,0,0,True,True,86cf4eb0997b1d4e2bc2d766676ba154a7981bc340106a776686df63ff636ffe,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_learned_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,drop,1,NTNU_fjord1_s83_d30_event,True,32.67620076780642,5.113237771380674,269,259,32.57555,5.472294,0.950623,1.390228,1,0,0,True,True,55fe80d6b1c26a7903656d2c9e16e3484e144c98aa9f91c9bb0ccad361ca200d,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_drop_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,drop,2,NTNU_fjord1_s83_d30_event,True,66.59921319468502,12.101863279076104,269,259,65.820083,12.89465,0.950623,1.390228,1,0,0,True,True,2b1925b00f2fe6a1b13b8d0fb158464de1308b2004507c5a4b2a4ab8ca3624cf,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_drop_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,drop,3,NTNU_fjord1_s83_d30_event,True,32.67620076780642,5.113237771380674,269,259,32.57555,5.472294,0.950623,1.390228,1,0,0,True,True,55fe80d6b1c26a7903656d2c9e16e3484e144c98aa9f91c9bb0ccad361ca200d,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_drop_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,gftt,1,NTNU_fjord1_s83_d30_event,True,0.2213594383500303,0.09158222196479138,269,259,0.218107,0.095375,0.897255,2.990209,1,0,0,True,True,702de594647f11584fe3399bde0d29619ac71fe992f706f19eb1dd2514ff2f5e,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_gftt_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,gftt,2,NTNU_fjord1_s83_d30_event,True,0.22135942788073285,0.09158222064347205,269,259,0.218107,0.095375,0.897255,2.990209,1,0,0,True,True,85f633e40ba144de845d98d0ed13b3128ad3197602f9fece0c8dd0a766d3802c,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_gftt_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,gftt,3,NTNU_fjord1_s83_d30_event,True,0.22135942788073285,0.09158222064347205,269,259,0.218107,0.095375,0.897255,2.990209,1,0,0,True,True,85f633e40ba144de845d98d0ed13b3128ad3197602f9fece0c8dd0a766d3802c,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_gftt_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,klt,1,NTNU_fjord1_s83_d30_event,True,0.0867519247825314,0.06572772266469162,269,259,0.117172,0.076617,0.950623,1.390228,1,0,0,True,True,797c6bd3e1774b61bde8b492dd58be10a2b2359ce22fe9e96a1698c003766812,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_klt_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,klt,2,NTNU_fjord1_s83_d30_event,True,0.0867519247825314,0.06572772266469162,269,259,0.117172,0.076617,0.950623,1.390228,1,0,0,True,True,797c6bd3e1774b61bde8b492dd58be10a2b2359ce22fe9e96a1698c003766812,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_klt_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,klt,3,NTNU_fjord1_s83_d30_event,True,0.0867519247825314,0.06572772266469162,269,259,0.117172,0.076617,0.950623,1.390228,1,0,0,True,True,797c6bd3e1774b61bde8b492dd58be10a2b2359ce22fe9e96a1698c003766812,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_klt_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,learned,1,NTNU_fjord1_s83_d30_event,True,0.09559420387038439,0.0381353302751758,269,259,0.108282,0.047478,0.950623,1.390228,1,0,0,True,True,4aff06f11afba0026db17e3dba6a396e8fb2d08a3982195a916ce3a00eb8765a,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,learned,2,NTNU_fjord1_s83_d30_event,True,0.09559438647312263,0.03813532193628043,269,259,0.108282,0.047478,0.950623,1.390228,1,0,0,True,True,69f8e96598b44a79223ee0f003365ae16f1b2a909fe4deddfbaca8f5e309e77e,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq,learned,3,NTNU_fjord1_s83_d30_event,True,0.09559418474576517,0.0381353179516041,269,259,0.108282,0.047478,0.950623,1.390228,1,0,0,True,True,174f30fcaa37987f9d1e369b0b5f05d8efc4644f23a1dee1e4273cb770e647e2,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,vins_safe_classical_xfeat_q1,learned_xfeat_q1,1,NTNU_fjord1_s83_d30_event,True,0.09559418474576517,0.0381353179516041,269,259,0.108282,0.047478,0.950623,1.390228,1,0,0,True,True,174f30fcaa37987f9d1e369b0b5f05d8efc4644f23a1dee1e4273cb770e647e2,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_xfeatq1_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,vins_safe_classical_xfeat_q1,learned_xfeat_q1,2,NTNU_fjord1_s83_d30_event,True,0.09559418474576517,0.0381353179516041,269,259,0.108282,0.047478,0.950623,1.390228,1,0,0,True,True,174f30fcaa37987f9d1e369b0b5f05d8efc4644f23a1dee1e4273cb770e647e2,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_xfeatq1_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,vins_safe_classical_xfeat_q1,learned_xfeat_q1,3,NTNU_fjord1_s83_d30_event,True,0.09536620604596706,0.038320408132580884,269,259,0.106763,0.046891,0.950623,1.390228,1,0,0,True,True,06136de22dc8cdd077f3bac7a6b3ecbebf9b3d94881438f7401151ebca786254,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_nativeq_xfeatq1_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
