dataset,window,profile,evaluator,arm,replay,scientific_unit,technical_repeat,ape_rmse_m,rpe_rmse_m,coverage,init_success,solver_failures,rpe_pairs,ape_valid,rpe_valid,validity_reason,source_artifact
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,klt_r2,2,A03_5000_5900_event,True,0.6703965009955828,0.07876912063889276,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,klt_r3,3,A03_5000_5900_event,True,435.47845459819547,60.48295865836038,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,learned_r1,1,A03_5000_5900_event,True,0.6713405819828688,0.07886866713132419,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,learned_r2,2,A03_5000_5900_event,True,0.6713217943776798,0.07886669996160942,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,learned_r3,3,A03_5000_5900_event,True,0.7161180149263379,0.08362047159706638,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_drop_r1,1,NTNU_fjord1_s83_d30_event,True,0.12194410956808158,0.06275771561199799,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_drop_r2,2,NTNU_fjord1_s83_d30_event,True,0.12194410956808158,0.06275771561199799,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_drop_r3,3,NTNU_fjord1_s83_d30_event,True,0.12194410956808158,0.06275771561199799,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_gftt_r1,1,NTNU_fjord1_s83_d30_event,True,0.271213942201771,0.09697293636403702,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_gftt_r2,2,NTNU_fjord1_s83_d30_event,True,0.27122341992378884,0.09697568886995342,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_gftt_r3,3,NTNU_fjord1_s83_d30_event,True,0.27121852160429455,0.09697385476706741,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_klt_r1,1,NTNU_fjord1_s83_d30_event,True,0.10847837343177948,0.03950213874233073,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_klt_r2,2,NTNU_fjord1_s83_d30_event,True,0.09249670997969062,0.03457568837833486,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_klt_r3,3,NTNU_fjord1_s83_d30_event,True,0.09433292966167672,0.035081351671012846,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_learned_r1,1,NTNU_fjord1_s83_d30_event,True,55.855043610979706,10.599716384938587,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_learned_r2,2,NTNU_fjord1_s83_d30_event,True,55.855043610979706,10.599716384938587,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,constq_learned_r3,3,NTNU_fjord1_s83_d30_event,True,55.855043610979706,10.599716384938587,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
