window,arm,arm_display,repeat,ape_rmse_m,ape_median_m,rpe_rmse_m,rpe_median_m,common_poses,rpe_pairs,evo_ape_rmse_m,evo_rpe_rmse_m,evo_ape_abs_diff_m,evo_rpe_abs_diff_m
a07_900_1800,klt,KLT,3,1.2883289058533298,1.044033443490983,0.13088287774682195,0.10814104111148674,38,36,1.288329,0.13088313787709843,9.41466702375493e-08,2.601302764859703e-07
a07_900_1800,splg,SP+LG,1,2606.33080821561,2245.874101091873,295.09165987202164,185.5928830996869,38,36,2606.330808,295.09165989046545,2.1560981622315012e-07,1.8443813587509794e-08
a07_900_1800,splg,SP+LG,2,112.54979004057996,89.61679970895311,13.460733016850114,5.8689647187044445,38,36,112.54979,13.460733269206743,4.057996250139695e-08,2.523566298151536e-07
a07_900_1800,splg,SP+LG,3,108.6445940812316,86.96570888787014,12.828019834155574,5.852667062094147,38,36,108.644594,12.828019614372785,8.123160455397738e-08,2.197827893013482e-07
a07_900_1800,xfeat_seed,XFeat-seed,1,0.8892160706065614,0.7044917081096963,0.0958697497558697,0.09364108390481282,38,36,0.889216,0.09586940806001557,7.06065613753637e-08,3.416958541391235e-07
a07_900_1800,xfeat_seed,XFeat-seed,2,0.8883130592815293,0.7037849018158028,0.09565581638375134,0.09360656282100338,38,36,0.888313,0.09565619346911103,5.9281529241062e-08,3.770853596873902e-07
a07_900_1800,xfeat_seed,XFeat-seed,3,0.8891638128866086,0.7044401762080899,0.09587873286067686,0.09366930139172559,38,36,0.889164,0.09587896491816013,1.871133913367018e-07,2.32057483270931e-07
a07_1800_2700,klt,KLT,1,0.6132027429405933,0.5122736847791451,0.12424836031078362,0.059147033869752695,40,39,0.613203,0.124248,2.5705940676079564e-07,3.603107836258612e-07
a07_1800_2700,klt,KLT,2,0.6162014232972463,0.5147546371182778,0.12434410749823498,0.059438051293893596,40,39,0.616201,0.124344,4.232972462547835e-07,1.0749823498024114e-07
a07_1800_2700,klt,KLT,3,0.6168622809883275,0.5152660023702105,0.12436969466639462,0.05949901008095526,40,39,0.616862,0.12437,2.8098832749456903e-07,3.053336053715494e-07
a07_1800_2700,splg,SP+LG,1,0.6066216305908859,0.5036485568561259,0.12390893968873448,0.059236884453413866,40,39,0.606622,0.123909,3.694091140760136e-07,6.031126552341615e-08
a07_1800_2700,splg,SP+LG,2,0.6054684931545102,0.502543923164642,0.12386696142300532,0.059142628363449905,40,39,0.605468,0.123867,4.931545102282442e-07,3.857699468201581e-08
a07_1800_2700,splg,SP+LG,3,0.5364043876432918,0.43340396518429614,0.12114322876759206,0.05179437341613674,40,39,0.536404,0.121143,3.876432917993e-07,2.2876759206424957e-07
a07_1800_2700,xfeat_seed,XFeat-seed,1,0.6169292766175148,0.5142508151175862,0.12451834306923631,0.059585103183901415,40,39,0.616929,0.124518,2.766175148938288e-07,3.4306923631099995e-07
a07_1800_2700,xfeat_seed,XFeat-seed,2,0.549116720236959,0.4481422778615476,0.12178947732612301,0.05306463424260948,40,39,0.549117,0.121789,2.7976304095567173e-07,4.773261230162085e-07
a07_1800_2700,xfeat_seed,XFeat-seed,3,0.6174062794407307,0.5146289967439489,0.12453816403500365,0.05963611753913456,40,39,0.617406,0.124538,2.7944073066610287e-07,1.6403500364969847e-07
h07_0_1000,klt,KLT,1,1.2629064862181067,0.7972852827585212,0.1997772205214538,0.08045624499801066,94,90,1.262906,0.19977754536094502,4.862181066656035e-07,3.248394912225283e-07
h07_0_1000,klt,KLT,2,1.404768848078477,0.8348330221391638,0.22932257698966996,0.08370559190121174,94,90,1.404769,0.22932246261784106,1.5192152291731986e-07,1.1437182889650899e-07
h07_0_1000,klt,KLT,3,1.3066448104316206,0.8072069581774232,0.204361727557023,0.0807002185071581,94,90,1.306645,0.20436156761974594,1.8956837943839844e-07,1.5993727706109517e-07
h07_0_1000,splg,SP+LG,1,1.315807210173407,0.8169651723108494,0.21444784698041894,0.08160134950662556,94,90,1.315807,0.21444795190934118,2.1017340712248256e-07,1.049289222454508e-07
h07_0_1000,splg,SP+LG,2,1.2801083942881204,0.8073930789782957,0.21258193487534424,0.08118735544434862,94,90,1.280108,0.21258206341342892,3.9428812037556327e-07,1.2853808467605532e-07
h07_0_1000,splg,SP+LG,3,1.195699141753398,0.7701982556046698,0.22694461161216195,0.07886408233308445,94,90,1.195699,0.22694431133846227,1.417533979086727e-07,3.002736996826627e-07
h07_0_1000,xfeat_seed,XFeat-seed,1,1.2704378626714925,0.8019555897158073,0.1961087983106523,0.0807280064704255,94,90,1.270438,0.196108502044149,1.37328507454626e-07,2.9626650330238924e-07
h07_0_1000,xfeat_seed,XFeat-seed,2,1.4114510841381116,0.8459564938505381,0.25981360535074,0.08442211428632346,94,90,1.411451,0.259813561664257,8.413811158902718e-08,4.368648298669342e-08
h07_0_1000,xfeat_seed,XFeat-seed,3,1.3727805435267817,0.8329489454654025,0.2406546552399818,0.08321709920564921,94,90,1.372781,0.24065448942461518,4.564732183354181e-07,1.6581536663173857e-07
h01_0_900,klt,KLT,1,0.07158578689952898,0.06531830692658668,0.0116340506961859,0.006426262679877214,85,83,0.071586,0.011634,2.1310047101930074e-07,5.069618590029801e-08
h01_0_900,klt,KLT,2,0.07150678570424297,0.06522580423104096,0.011593105827312431,0.006490782298954934,85,83,0.071507,0.011593000000000001,2.142957570283599e-07,1.0582731243061194e-07
h01_0_900,klt,KLT,3,0.07176227445646678,0.0654101690602236,0.01153990197533746,0.006518500493777631,85,83,0.071762,0.01154,2.7445646677559665e-07,9.802466253983066e-08
h01_0_900,splg,SP+LG,1,0.07175923957796869,0.0654598499343421,0.01137612425187928,0.006524195090973714,85,83,0.071759,0.011376,2.395779686859001e-07,1.24251879278503e-07
h01_0_900,splg,SP+LG,2,0.07164779937945774,0.06539155358076788,0.011400073283943627,0.006443175195129711,85,83,0.071648,0.0114,2.0062054226221981e-07,7.328394362703106e-08
h01_0_900,splg,SP+LG,3,0.07174508800104876,0.0654187138657885,0.011652951953175585,0.006474896591881776,85,83,0.071745,0.011653,8.800104875361647e-08,4.8046824414893496e-08
h01_0_900,xfeat_seed,XFeat-seed,1,0.0715910588392625,0.06522669760798093,0.011447356945484228,0.006374556766431496,85,83,0.071591,0.011447,5.8839262503940226e-08,3.569454842273362e-07
h01_0_900,xfeat_seed,XFeat-seed,2,0.07168964803722411,0.06537360059816537,0.011668191371538765,0.006465040601380538,85,83,0.07169,0.011668,3.519627758963306e-07,1.913715387651116e-07
h01_0_900,xfeat_seed,XFeat-seed,3,0.07162963532204353,0.06537919591611806,0.011402963520439836,0.006438202294063014,85,83,0.07163,0.011403,3.646779564714375e-07,3.6479560164282e-08
fjord5_s60_d30,klt,KLT,1,0.1309757477253244,0.09865284942269208,0.040597922060467806,0.02829888602781726,289,279,0.130976,0.040598,2.52274675621722e-07,7.793953219620287e-08
fjord5_s60_d30,klt,KLT,2,0.13097469330393854,0.09865177111939882,0.04059782836032696,0.02829889807095743,289,279,0.130975,0.040598,3.0669606146394024e-07,1.716396730438996e-07
fjord5_s60_d30,klt,KLT,3,0.13097694932826068,0.09864693767520376,0.04059836273183249,0.028309531679677376,289,279,0.130977,0.040598,5.067173933226421e-08,3.6273183248725083e-07
fjord5_s60_d30,splg,SP+LG,1,0.13097692109863127,0.09865116727712857,0.04059788679646829,0.02829843925608079,289,279,0.130977,0.040598,7.890136874411091e-08,1.1320353171528907e-07
fjord5_s60_d30,splg,SP+LG,2,0.13097681717788287,0.0986504957158366,0.040598161811964115,0.028298898939451846,289,279,0.130977,0.040598,1.8282211713960272e-07,1.6181196411252374e-07
fjord5_s60_d30,splg,SP+LG,3,0.1309740803507719,0.09865064498748759,0.04060057427122574,0.028306330355439304,289,279,0.130974,0.040601,8.035077189716411e-08,4.2572877426150235e-07
fjord5_s60_d30,xfeat_seed,XFeat-seed,1,0.13172011906200404,0.09738119686016063,0.04101587754922967,0.027593019359950198,289,279,0.13172,0.041016,1.190620040336654e-07,1.2245077032901897e-07
fjord5_s60_d30,xfeat_seed,XFeat-seed,2,0.13171971590356418,0.09738174223685525,0.04101572863226941,0.02759301362595012,289,279,0.13172,0.041016,2.840964358208353e-07,2.713677305851703e-07
fjord5_s60_d30,xfeat_seed,XFeat-seed,3,0.13172000265484313,0.09738265686058206,0.04101573763469415,0.02759302993014075,289,279,0.13172,0.041016,2.6548431231177005e-09,2.623653058489439e-07
fjord6_s45_d45,klt,KLT,1,0.13542561910326945,0.12259728552163579,0.03970153448672373,0.03180708416017338,439,429,0.135426,0.039702,3.8089673054519935e-07,4.655132762737546e-07
fjord6_s45_d45,klt,KLT,2,0.13542552022632184,0.1225918687892361,0.03970304691193824,0.031812307158379446,439,429,0.135426,0.039703,4.797736781469997e-07,4.6911938236804396e-08
fjord6_s45_d45,klt,KLT,3,0.135416250537987,0.12257771093446773,0.03970099182569087,0.03179154244130609,439,429,0.135416,0.039701,2.5053798699548047e-07,8.174309132358282e-09
fjord6_s45_d45,splg,SP+LG,1,0.1355026028493475,0.12282843514570849,0.03973472924699655,0.03203221879927819,439,429,0.135503,0.039735,3.9715065250356396e-07,2.707530034479211e-07
fjord6_s45_d45,splg,SP+LG,2,0.13551024138110104,0.1228707746074839,0.039736070521734744,0.03205695249611454,439,429,0.13551,0.039736,2.41381101051541e-07,7.052173474353385e-08
fjord6_s45_d45,splg,SP+LG,3,0.1354999954389307,0.12282777230106849,0.039734458761532816,0.03203629741216454,439,429,0.1355,0.039734,4.561069300024201e-09,4.587615328177641e-07
fjord6_s45_d45,xfeat_seed,XFeat-seed,1,0.1352671654435328,0.12261747229498038,0.039618018091180277,0.03208701677916452,439,429,0.135267,0.039618,1.654435327902437e-07,1.8091180276069707e-08
fjord6_s45_d45,xfeat_seed,XFeat-seed,2,0.1352650085791823,0.12262014274434659,0.03961492789760136,0.03208291756901558,439,429,0.135265,0.039615,8.57918230900978e-09,7.21023986349767e-08
fjord6_s45_d45,xfeat_seed,XFeat-seed,3,0.13527910309049235,0.12266391013253773,0.039617620853351555,0.032098492889484756,439,429,0.135279,0.039618,1.030904923371434e-07,3.791466484451278e-07
