comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,3,42,41,1.08981254139805,0.10418156724536683,0.5096594714082558,0.0473232031828688,0.019026847451543705,4.5860194997082715e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,1,42,41,1.0924098993256364,0.10439267407570935,0.509063580912127,0.04752417408821728,0.019025359589539916,3.5958953991527265e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,2,42,41,1.0947938886906732,0.10467956188088834,0.5085179624608231,0.04787410296258119,0.019184257657303697,4.3811911165647643e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,3,42,41,1.0934642534121657,0.10456246486827372,0.5088221991370865,0.04777750074794204,0.019136551973296667,4.992520579588655e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,1,42,41,1.10699829056342,0.104367784033892,0.5057414969298389,0.04721475256773547,0.019707536134922345,4.638650776545017e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,2,42,41,1.1138290031311506,0.10469547036067714,0.504200783382783,0.04657208952307236,0.01951009639374456,4.703606771433444e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,3,42,41,1.1282259114707134,0.10416522006990732,0.5009845064901692,0.044745208262830204,0.017015913287594876,2.2006990732514886e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,1,42,41,1.1318350807953512,0.10478891792637546,0.5001848001798974,0.04583238959407673,0.01745634507521098,3.895940767356665e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,2,42,41,1.13090145439243,0.10464446580778776,0.5003914348478888,0.04550669779338196,0.017370146659896453,4.658077877583988e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,3,42,41,1.0918987539031748,0.10338316438602549,0.5091811099005018,0.04800569587075746,0.01954919184364433,3.041292425398634e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,klt,1,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,klt,2,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,klt,3,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,learned,1,42,41,0.0427942124807622,0.026724813380849685,0.9728680530369359,0.035415924557395596,0.026057271543087488,2.7154308748778e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,learned,2,42,41,0.0427942124807622,0.026724813380849685,0.9728680530369359,0.035415924557395596,0.026057271543087488,2.7154308748778e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,learned,3,42,41,0.04870053714391951,0.028205338118622296,0.9559548736484992,0.02820905549677256,0.026755132100621123,4.628560804909032e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,matched,1,42,41,0.057749249963989106,0.02788800086264686,0.946215148394533,0.030606325138265257,0.02600716490025829,3.251382652558199e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,matched,2,42,41,0.0427942124807622,0.026724813380849685,0.9728680530369359,0.035415924557395596,0.026057271543087488,2.7154308748778e-07
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,matched,3,42,41,0.04483309422305126,0.031419516800541024,0.9624573409691668,0.02967402068415312,0.03010984186182945,4.831994589726829e-07
