comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,learned,3,38,37,1242.09878109709,150.83878345620516,0.0014740514650271937,1.270535543593793,0.22449890921115212,4.5640620705000856e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,matched,1,38,37,1242.1572778626307,150.8497434399168,0.001473971140315629,1.2705553382766044,0.2245032649149479,4.39916817640551e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,matched,2,38,37,1242.1136401889353,150.84016371973127,0.0014740333657692487,1.2705364273095854,0.22449856281208982,4.3718791017943737e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,matched,3,38,37,1291.2595138335148,156.39746913510535,0.0014199935379185593,1.2668225238036448,0.2238474984346286,4.984346285985541e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,1,42,41,0.14065524388747902,0.022667493995769814,0.8991731124772231,0.060819054960183284,0.01741215071710953,4.939957698145425e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,2,42,41,0.13974148923894086,0.022619651625362672,0.8999266961007363,0.06090101390412395,0.017427182258630446,4.892389408595044e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,learned,3,42,41,0.1389977284789425,0.022576263107768654,0.9005198183854883,0.06090288766620596,0.017425711791629078,2.8820837092227714e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,1,42,41,0.1257843605654357,0.021777230433188265,0.9114979006467872,0.06133718972155262,0.01744821063853386,3.605654357030641e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,2,42,41,0.16308672174337635,0.02393588071226569,0.8816447607922199,0.05950381631347591,0.01714666398054392,3.3601945607919514e-07
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,matched,3,42,41,0.16272818247938217,0.02388277985380845,0.8818291506685956,0.05919996267816557,0.017100275570454737,2.755704547365012e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,1,42,41,0.14061790915057523,0.022665909177187884,0.899204428393847,0.06082412097632658,0.017413132769512417,1.3276951241550372e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,2,42,41,0.14067915048473478,0.022666833580321392,0.8991516451430323,0.0608116215623032,0.017409466622259426,4.66622259425592e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,learned,3,42,41,0.14110700648231145,0.022694734260099395,0.898811976888497,0.06080938031876955,0.01741113523001226,3.8031876954669475e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,1,42,41,0.1406478829898927,0.02266745926006505,0.899179097625137,0.060819496461901955,0.017412642232561247,4.964619019567906e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,2,42,41,0.1628748904768855,0.023930234086179142,0.8818138793559552,0.059551825923047766,0.017159931967958782,2.3408617914194574e-07
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,matched,3,42,41,0.1630394961984721,0.023934808638983902,0.8816816505850548,0.059511493820594716,0.017149523985332055,4.961984721163493e-07
