role,sequence,arm,status,source,group,observations,valid_labels,valid_tracks,epe_mean_px,epe_median_px,epe_p90_px,epe_p95_px,epe_sum_px,correction_all_mean_px,correction_all_median_px,correction_all_p90_px,correction_all_p95_px,correction_all_sum_px,over_1px_ratio,over_2px_ratio,zero_correction_ratio_all,temporal_pairs,temporal_mean_px,temporal_median_px,temporal_p90_px,temporal_p95_px,temporal_sum_px
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_400:500,35000,31752,8819,0.7353643178939819,0.24559463560581207,1.4738413214683534,2.301244235038755,23349.28610838484,0.0,0.0,0.0,0.0,0.0,0.1690602166792643,0.06298815822625346,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_500:600,35000,31490,12954,0.31553733348846436,0.09809820726513863,0.7231711149215698,1.044924086332321,9936.270231397357,0.0,0.0,0.0,0.0,0.0,0.05487456335344554,0.014131470308034296,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,temporal_all,,,,,,,,,,,,,,,,,82730,0.35196423530578613,0.15244202315807343,0.5065302670001987,0.7225188612937927,29118.00158567808
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,temporal_birth_next,,,,,,,,,,,,,,,,,20588,0.5695436000823975,0.18888255208730698,0.6075710892677304,0.8971192926168438,11725.764250050765
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,62142,0.27987900376319885,0.14309508353471756,0.46975532472133646,0.6711380153894423,17392.237335627316
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,all,209862,166791,84061,0.6257592439651489,0.2985116243362427,1.1647180318832397,1.689463496208191,104371.00750922563,0.3728737235069275,0.21914638578891754,0.9741921126842498,1.3770406424999233,78252.02966498816,0.12690133160662145,0.03594918191029492,0.1696257540669583,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,birth,111694,84061,84061,0.2446700930595398,0.1783621609210968,0.5452042818069458,0.7205248475074768,20567.214078079443,0.223348468542099,0.1566520258784294,0.5174116611480711,0.6929579854011534,24946.683553652372,0.01871260156315057,0.0007494557523703026,0.190645871756764,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,nonbirth,98168,82730,20588,1.012979507446289,0.5093032717704773,1.677156674861909,2.436259758472443,83803.79343114619,0.5430012941360474,0.36146509647369385,1.3812898039817811,1.7384746253490428,53305.34611133579,0.23683065393448569,0.07171521817962045,0.14570939613723413,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,block_0:100,35000,18385,9849,0.6481986045837402,0.3391640782356262,1.414790177345276,1.9732970714569085,11917.131571669597,0.40649357438087463,0.2204761728644371,1.1286062240600587,1.5591480553150083,14227.27440291061,0.17400054392167527,0.04868098993744901,0.161,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,block_100:200,34862,23694,17563,0.49087730050086975,0.22500324994325638,0.7887283742427826,1.1886308372020717,11630.847141894395,0.2944799065589905,0.1805984303355217,0.6965733766555786,1.0223771333694458,10266.158144918736,0.06752764412931545,0.02059593145944121,0.14973323389363777,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,block_200:300,35000,30163,16439,0.6189892888069153,0.30411824584007263,1.1839737176895142,1.7815616965293881,18670.57408308552,0.37591513991355896,0.23315522819757462,0.9600814342498782,1.3536438941955558,13157.030156932306,0.12886649205980838,0.0401153731392766,0.17365714285714287,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,block_300:400,35000,31307,18832,0.634762704372406,0.2768632173538208,0.9484963178634647,1.409875881671904,19872.51569533837,0.35258203744888306,0.22788213193416595,0.8556930422782899,1.1964164376258843,12340.370983205503,0.09122560449739675,0.026671351454946177,0.1362,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,block_400:500,35000,31752,8819,0.8572531938552856,0.41499198973178864,1.5571463108062749,2.246398019790649,27219.502746726386,0.4445558190345764,0.27274471521377563,1.1816090106964114,1.518780744075775,15559.455047346652,0.20874275636180398,0.06254724111866969,0.21662857142857142,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,block_500:600,35000,31490,12954,0.47826093435287476,0.2755631357431412,0.9723665237426783,1.3743188381195062,15060.43627051136,0.36290687322616577,0.2063244730234146,0.9474962115287782,1.3884194552898392,12701.740929674357,0.09514131470308035,0.018482057796125755,0.18045714285714284,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,temporal_all,,,,,,,,,,,,,,,,,82730,0.38167595863342285,0.18959278613328934,0.5376829624176029,0.7418273866176606,31576.052770758688
