run_slug,arm,phase,repeat,observation_rows,local_motion_residual_norm_n,local_motion_residual_norm_min,local_motion_residual_norm_p10,local_motion_residual_norm_median,local_motion_residual_norm_p90,local_motion_residual_norm_max,local_motion_residual_norm_mean,patch_mean_abs_delta_n,patch_mean_abs_delta_min,patch_mean_abs_delta_p10,patch_mean_abs_delta_median,patch_mean_abs_delta_p90,patch_mean_abs_delta_max,patch_mean_abs_delta_mean,global_corrected_patch_abs_delta_n,global_corrected_patch_abs_delta_min,global_corrected_patch_abs_delta_p10,global_corrected_patch_abs_delta_median,global_corrected_patch_abs_delta_p90,global_corrected_patch_abs_delta_max,global_corrected_patch_abs_delta_mean,patch_gradient_abs_delta_n,patch_gradient_abs_delta_min,patch_gradient_abs_delta_p10,patch_gradient_abs_delta_median,patch_gradient_abs_delta_p90,patch_gradient_abs_delta_max,patch_gradient_abs_delta_mean,fb_n,fb_min,fb_p10,fb_median,fb_p90,fb_max,fb_mean,ncc_n,ncc_min,ncc_p10,ncc_median,ncc_p90,ncc_max,ncc_mean,physical_label,interpretation_label,causal_per_point_harm_label
afrl_bus_s180_d045,L-all,post_init,1,2608,1817,3.144804919172376e-05,0.0003301135588760093,0.0012821438994062597,0.00550262866649614,0.03268112216903343,0.0022425743490890665,1817,0.0,0.0008714795112609863,0.004986688494682312,0.01807793974876404,0.0658920407295227,0.007648467115471504,1817,5.677072737020339e-06,0.0010483483179566377,0.005690130980404329,0.016480198611215816,0.0612761362631804,0.00766551636913165,1817,7.413327693939209e-06,0.001021699607372284,0.005440518260002136,0.01565661728382111,0.08187302947044373,0.007400300318911368,2608,8.63167442730628e-05,0.007472019409760832,0.04105137661099434,0.20602221637964252,0.9755112528800964,0.08498840100375193,2608,0.6509175300598145,0.7151510715484619,0.8450180292129517,0.9505323231220245,0.9908852577209473,0.8399357224351789,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_bus_s180_d045,L-all,post_init,2,2608,1817,3.144804919172376e-05,0.0003301135588760093,0.0012821438994062597,0.00550262866649614,0.03268112216903343,0.0022425743490890665,1817,0.0,0.0008714795112609863,0.004986688494682312,0.01807793974876404,0.0658920407295227,0.007648467115471504,1817,5.677072737020339e-06,0.0010483483179566377,0.005690130980404329,0.016480198611215816,0.0612761362631804,0.00766551636913165,1817,7.413327693939209e-06,0.001021699607372284,0.005440518260002136,0.01565661728382111,0.08187302947044373,0.007400300318911368,2608,8.63167442730628e-05,0.007472019409760832,0.04105137661099434,0.20602221637964252,0.9755112528800964,0.08498840100375193,2608,0.6509175300598145,0.7151510715484619,0.8450180292129517,0.9505323231220245,0.9908852577209473,0.8399357224351789,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_bus_s180_d045,L-all,post_init,3,2608,1817,3.144804919172376e-05,0.0003301135588760093,0.0012821438994062597,0.00550262866649614,0.03268112216903343,0.0022425743490890665,1817,0.0,0.0008714795112609863,0.004986688494682312,0.01807793974876404,0.0658920407295227,0.007648467115471504,1817,5.677072737020339e-06,0.0010483483179566377,0.005690130980404329,0.016480198611215816,0.0612761362631804,0.00766551636913165,1817,7.413327693939209e-06,0.001021699607372284,0.005440518260002136,0.01565661728382111,0.08187302947044373,0.007400300318911368,2608,8.63167442730628e-05,0.007472019409760832,0.04105137661099434,0.20602221637964252,0.9755112528800964,0.08498840100375193,2608,0.6509175300598145,0.7151510715484619,0.8450180292129517,0.9505323231220245,0.9908852577209473,0.8399357224351789,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,B,all,not_applicable,124950,99123,3.640343173373347e-06,0.00022583129511014464,0.000779672989770282,0.0026751462183903845,0.07750257592430905,0.001257481054142659,99123,0.0,0.0010167062282562256,0.0053255558013916016,0.01268458366394043,0.08370852470397949,0.006299209297013018,99123,4.561929167756773e-09,0.0009368392491309386,0.005065398526222897,0.012636140031478017,0.0858510737235873,0.006155751941179854,99123,1.564621925354004e-07,0.0009682536125183106,0.0052094124257564545,0.014535257220268251,0.11774881929159164,0.006830865199573759,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,L-all,all,not_applicable,10977,7528,4.957920926572382e-06,0.0009052837837001772,0.0031067490013973447,0.007263030314618913,0.03408971589751488,0.0037276256608336856,7528,0.0,0.0006777942180633545,0.003776341676712036,0.010070204734802246,0.0380537211894989,0.004786674416248907,7528,8.288597281302934e-07,0.0006122250864552759,0.0036863947614034775,0.009975813572740229,0.03924729962087148,0.004694878385715466,7528,8.940696716308594e-08,0.0007646724581718445,0.004180297255516052,0.010820562392473221,0.03266596794128418,0.005143568962891601,10977,0.00012947511277161539,0.00501279067248106,0.019895654171705246,0.10356095731258387,0.9679909348487854,0.04454853122897341,10977,0.6500214338302612,0.7275508522987366,0.8453463315963745,0.9331135153770447,0.9935692548751831,0.8366984270293824,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,C-all,all,not_applicable,6656,4474,3.809956291209831e-05,0.0008354795858778025,0.0026705416325461533,0.0068207258515054865,0.0369101386988628,0.003399325289606517,4474,0.0,0.0010651051998138428,0.005761325359344482,0.014330676198005677,0.07020092010498047,0.006923479707074794,4474,3.931802238510418e-06,0.0010390173398684532,0.005641272382892082,0.014242635144576524,0.06653589559517653,0.006859707666518335,4474,2.682209014892578e-07,0.0009175520390272142,0.005217339843511581,0.013412030786275867,0.04122519493103027,0.006446726137674782,6656,0.00017859954095911235,0.004247716162353754,0.017527859658002853,0.09978805109858513,0.9861208200454712,0.043431830326330086,6656,0.6501340866088867,0.7406343519687653,0.8648938238620758,0.9426998198032379,0.9944947957992554,0.8527199018818254,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,B,pre_init,1,3850,3028,8.798150795022143e-06,0.00021645343985045193,0.0007107717447642236,0.0024595842057989416,0.012556567173926135,0.00111494596233904,3028,0.0,0.0015492439270019531,0.006390690803527832,0.012602275609970102,0.025320738554000854,0.006814602235900521,3028,1.1652067594125626e-07,0.0014556795401479805,0.006125025656737532,0.012388871000152776,0.026052682998445265,0.006641661567498747,3028,4.0978193283081055e-07,0.0011308804154396056,0.00602172315120697,0.014344219118356705,0.04758095741271973,0.007121962885147199,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,B,pre_init,2,3850,3028,8.798150795022143e-06,0.00021645343985045193,0.0007107717447642236,0.0024595842057989416,0.012556567173926135,0.00111494596233904,3028,0.0,0.0015492439270019531,0.006390690803527832,0.012602275609970102,0.025320738554000854,0.006814602235900521,3028,1.1652067594125626e-07,0.0014556795401479805,0.006125025656737532,0.012388871000152776,0.026052682998445265,0.006641661567498747,3028,4.0978193283081055e-07,0.0011308804154396056,0.00602172315120697,0.014344219118356705,0.04758095741271973,0.007121962885147199,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,B,pre_init,3,3850,3028,8.798150795022143e-06,0.00021645343985045193,0.0007107717447642236,0.0024595842057989416,0.012556567173926135,0.00111494596233904,3028,0.0,0.0015492439270019531,0.006390690803527832,0.012602275609970102,0.025320738554000854,0.006814602235900521,3028,1.1652067594125626e-07,0.0014556795401479805,0.006125025656737532,0.012388871000152776,0.026052682998445265,0.006641661567498747,3028,4.0978193283081055e-07,0.0011308804154396056,0.00602172315120697,0.014344219118356705,0.04758095741271973,0.007121962885147199,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
afrl_cemetery_s135_d045,L-all,pre_init,1,85,49,0.0003678636656702243,0.0009361019325778474,0.0028769307946540936,0.0069174757755513586,0.01473070268272286,0.0038089021580087557,49,9.682774543762207e-05,0.0010554254055023195,0.0040183961391448975,0.009179377555847168,0.014137029647827148,0.004831565277917045,49,0.00022006619048270393,0.0007623040611042575,0.0031423940314498355,0.008579156094345376,0.013481253504036339,0.004290268743833537,49,0.00014618411660194397,0.0009476713836193086,0.006218813359737396,0.012564808130264284,0.0198042169213295,0.006486238493603103,85,0.005145923234522343,0.01651599183678627,0.06188149005174637,0.25355951189994874,0.6793411374092102,0.10845860927639639,85,0.6506666541099548,0.6911024451255798,0.8054612278938293,0.8806626200675965,0.9378557801246643,0.7951892074416665,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
