run_slug,arm,repeat,all_four_APE_rmse_m,all_four_RPE_rmse_m,all_four_sim3_scale,first_feature_ns,first_pose_ns,first_pose_delay_s,relative_pose_rejections,alignment_rejections,gyro_calibrations,gyro_delta_norm_max,linear_solver_failure_mentions,linear_failure_line_numbers,init_count,run_dir,log_sha256,receipt_sha256
a02_0_900,C-all,1,0.07037413877854398,0.016426989793378886,1.0336194891267483,1542828791787420320,1542828794685281536,2.897861216,5,7,8,0.04949920522291242,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/C-all/repeat1,067b61f09b6172ec9622d5d0f88d3586bdeb9af1fd73c461c0a28bf7f0718f21,d108ac62bb3e1deaeeb464d78de29254b93a934148a254b7bebb97ec2c269284
a02_0_900,C-all,2,0.06951735455963182,0.016460604582341925,1.032140833703452,1542828791787420320,1542828794685281536,2.897861216,5,7,8,0.04949920522291242,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/C-all/repeat2,d8c70883f2bf31a416d25c4f4e9a6621cbb6ca72496a930e587327792feeb30f,c90bf0d9690bb95ce380b3db9de4c3164ad9e63ffedfa5dfb857a0013b23ee9c
a02_0_900,C-all,3,0.06833878199738416,0.016385324805358245,1.0296085120748812,1542828791787420320,1542828794685281536,2.897861216,5,7,8,0.04949920522291242,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/C-all/repeat3,5637295ffbc2c33fcfb51fd99d9ca0829afc58915b57ec7dbe01ff6d04779a87,083abde47a91fe8226276b4a6db78d60bf737e77512325f133cd0e0542e1a0a6
afrl_bus_s180_d045,B,1,0.059698174015834875,0.02494601595068928,0.9410946718437014,1494876659795710199,1494876662186834944,2.391124745,3,0,1,0.03527377529498366,5,27;28;29;30;31,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/B/repeat1,7e42a670b0deab708af581c3bcffa994f2372eb51e3dcefc6dab841686cfd080,a1962203203ef2c636503064b33586c97e5c9ebe4a910552b3c7fb75ce92be14
afrl_bus_s180_d045,B,2,0.049787454643317255,0.029669656116176373,0.9543979546794226,1494876659795710199,1494876662027668224,2.231958025,3,0,1,0.029797757254070315,6,27;28;29;30;31;32,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/B/repeat2,005e4b3217e6c6817c1d50c35ba7348c8f9674d640df690287dab0d44e6753b9,854fc04dd24a6531cd68505eb4abd8187d5d7949bc60ba31127759d56112e9c8
afrl_bus_s180_d045,B,3,0.05889629428410494,0.026323114162347856,0.9432082834106067,1494876659795710199,1494876662186834944,2.391124745,3,0,1,0.03527377529498366,5,27;28;29;30;31,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/B/repeat3,d909c83495b45f1960378793687bf24f0c2e7ba01e82b7a5a3c39ea82dfb4221,d8f9f86cc65ba3a6289c9e995f639e5e5f70ba5e41ac9c9599852724de496921
afrl_bus_s180_d045,L6,1,0.06152599508818373,0.02951154986165602,0.9413157306835128,1494876659795710199,1494876662186834944,2.391124745,3,0,1,0.035261791522624035,7,27;28;29;30;31;32;33,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/L6/repeat1,059fc9cdf3192c559680f184c3661eeb11f8ab47686359dd6e0e57160459ad7d,f46effbc85ec195be060f4666cb08f6f799711c7d6bdcc9cc56559b3ff112e63
afrl_bus_s180_d045,L6,2,0.06152599508818373,0.02951154986165602,0.9413157306835128,1494876659795710199,1494876662186834944,2.391124745,3,0,1,0.035261791522624035,7,27;28;29;30;31;32;33,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/L6/repeat2,e149964129b260988958fb045c53e531d8cfe6919819450db647ab9684e10670,89dee6073ee09d81bd0b28f4faf36929f63fa429209ba1e76ed93c9e708a86b0
afrl_bus_s180_d045,L6,3,0.06152599508818373,0.02951154986165602,0.9413157306835128,1494876659795710199,1494876662186834944,2.391124745,3,0,1,0.035261791522624035,7,27;28;29;30;31;32;33,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/L6/repeat3,04aa9daecc7ee46e14e858a474548d499906cde584730de0032c61bd1dc4408b,6b6406d86b9fa9ace9e50bd55fb008919ce36d6fc736ccc3c07d71c384ea9f05
afrl_bus_s180_d045,L-all,1,23.25256641545865,3.08564979736779,0.030741932464029214,1494876659795710199,1494876664737415168,4.941704969,3,3,4,0.04018243224029128,23,27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;51;52,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/afrl_bus_s180_d045/L-all/repeat1,e5dce72781131b4bdf2811eee81d673bdca347887175429919b4a82aa1a8555f,95c4da9dff04bcf1f55410532c0635e0c9c256cb0b434725e31b380e0e904d6b
