comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,learned,3,42,41,1.0950541476104025,0.10473306163383313,0.5084584955993527,0.04795622890733865,0.01919102073928656,2.2890733865355006e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,matched,1,42,41,1.0944152124100783,0.10466165112391926,0.5086045874239993,0.04787050702300897,0.019193070536645908,4.929769910275161e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,matched,2,42,41,1.093230360326303,0.10458683107377365,0.5088758068806931,0.04783756196557533,0.01920599829927683,4.380344246698864e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,matched,3,42,41,1.0943983689798336,0.1046406725339557,0.5086084066586564,0.047818512464232,0.0191708827519642,4.875357679998138e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,learned,1,42,41,1.1297746695531818,0.10426871937385436,0.5006410199387021,0.04477000581641705,0.017016581396383908,4.186036160931661e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,learned,2,42,41,1.1324861987132453,0.10472324881194973,0.5000407849989017,0.045332813069762716,0.01734474441056235,2.5558943764908415e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,learned,3,42,41,1.1140172508368558,0.10432735340598358,0.5041581511575818,0.04554476063917783,0.01907747611953447,4.761195344683833e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,matched,1,42,41,1.1295842900276565,0.10528104526230277,0.5006832160096137,0.04473982423380695,0.018479853782545737,2.900276565576121e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,matched,2,42,41,1.133935717833909,0.10481751852679792,0.4997204939157538,0.04518607742397338,0.017323186283129337,4.814732020713697e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,matched,3,42,41,1.1341241294727318,0.10481715712256937,0.49967889065629867,0.04524627266716633,0.017288442564439798,4.425644397967887e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,klt,1,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,klt,2,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,klt,3,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,learned,1,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,learned,2,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,learned,3,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,matched,1,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,matched,2,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,matched,3,42,41,0.06010874666198525,0.03721830922592327,0.9561064464308695,0.04528840980910515,0.03582772009289516,4.098091051507602e-07
