run_slug,arm,attempted,runability_pass,wall_s_min,wall_s_median,wall_s_max,peak_node_rss_bytes_min,peak_node_rss_bytes_median,peak_node_rss_bytes_max,first_pose_delay_from_reference_start_s_min,first_pose_delay_from_reference_start_s_median,first_pose_delay_from_reference_start_s_max,trajectory_coverage_min,trajectory_coverage_median,trajectory_coverage_max,trajectory_length_m_min,trajectory_length_m_median,trajectory_length_m_max,received_candidate_min,received_candidate_median,received_candidate_max,received_KLT_min,received_KLT_median,received_KLT_max,eligible_candidate_min,eligible_candidate_median,eligible_candidate_max,residual_candidate_min,residual_candidate_median,residual_candidate_max,residual_KLT_min,residual_KLT_median,residual_KLT_max,max_actual_eligible_min,max_actual_eligible_median,max_actual_eligible_max,solver_total_s_min,solver_total_s_median,solver_total_s_max,solver_near_limit_fraction_min,solver_near_limit_fraction_median,solver_near_limit_fraction_max,solver_at_or_above_limit_fraction_min,solver_at_or_above_limit_fraction_median,solver_at_or_above_limit_fraction_max,all_four_APE_rmse_m_min,all_four_APE_rmse_m_median,all_four_APE_rmse_m_max,all_four_RPE_rmse_m_min,all_four_RPE_rmse_m_median,all_four_RPE_rmse_m_max,all_four_sim3_scale_min,all_four_sim3_scale_median,all_four_sim3_scale_max
afrl_bus_s180_d045,L-all,3,3,65.03404950999538,65.13999557800707,65.33483009100019,87556096.0,89952256.0,90877952.0,4.94170508114621,4.94170508114621,4.94170508114621,0.8845240932020859,0.8845240932020859,0.8845240932020859,4.834123420839309,5.044410692778871,160.8901868503027,2963.0,2963.0,2963.0,98700.0,98700.0,98700.0,542.0,643.0,680.0,2250.0,2694.0,2785.0,100808.0,204011.0,211744.0,368.0,373.0,373.0,3.4073016240000005,3.7323128959999994,3.9168583409999993,0.0,0.012,0.02,0.0,0.008,0.012,0.042618630514737535,0.04390871091329776,23.25256641545865,0.022427081926597318,0.026222836735105982,3.08564979736779,0.030741932464029214,0.9543931731368095,0.9590464868102869
afrl_bus_s180_d045,C-all,3,3,64.6064885109954,64.7022242360108,64.84378725600254,89546752.0,90357760.0,90890240.0,2.2319581371266395,2.391124857123941,2.391124857123941,0.9413570835579771,0.9413570835579771,0.9449036964335055,5.706118769680879,5.999147009132866,6.705772896446089,2305.0,2305.0,2305.0,98700.0,98700.0,98700.0,185.0,204.0,226.0,618.0,672.0,747.0,216341.0,224989.0,234054.0,344.0,359.0,359.0,4.412306296000001,4.525674943000002,4.764897831000003,0.0037593984962406013,0.011278195488721804,0.02247191011235955,0.0037593984962406013,0.011278195488721804,0.02247191011235955,0.03637116380027153,0.038084470435000045,0.04228200559888264,0.024484498704232294,0.026285182630614776,0.02895153708982841,0.9656219923282522,0.9739662986136997,0.9780652985462566
a08_2700_3600,B,3,3,65.34045188500022,65.45909827100695,65.81311713499599,100683776.0,103100416.0,104538112.0,1.0498473652405664,1.0498473652405664,1.0498473652405664,0.9755514727077498,0.9755514727077498,0.9755514727077498,3.5571581397616736,3.578883145904455,3.941542339718129,0.0,0.0,0.0,157500.0,157500.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,1425763.0,1425843.0,1425843.0,418.0,418.0,418.0,15.270475224000004,15.335512654000013,15.572176701000014,0.47045454545454546,0.49772727272727274,0.55,0.36818181818181817,0.375,0.42954545454545456,0.06269269136674967,0.14762646339229588,0.15295304546547686,0.031228629860555246,0.03342382991244792,0.03359597914354518,1.05263575596845,1.1593128870425151,1.1664848616855599
a08_2700_3600,L6,3,3,65.32797076299903,65.4384831990028,65.5401160360052,101072896.0,103317504.0,103931904.0,1.0498473652405664,1.0498473652405664,1.0498473652405664,0.9755514727077498,0.9755514727077498,0.9755514727077498,1.3976175482345705,1.3980003235692275,1.4050545918343276,2688.0,2688.0,2688.0,157500.0,157500.0,157500.0,3258.0,3258.0,3258.0,18992.0,18992.0,18992.0,1426373.0,1426383.0,1426383.0,424.0,424.0,424.0,15.452176641,15.622066245000005,15.645174269000007,0.5204545454545455,0.5590909090909091,0.5636363636363636,0.39090909090909093,0.4159090909090909,0.41818181818181815,0.6938731581046333,0.6955535393749039,0.6956574427633784,0.06927815982254289,0.06941144672349972,0.06942134014704775,3.0033997716242364,3.0180939252387997,3.0189998464272887
a08_2700_3600,L-all,3,3,65.34878902300261,65.38725902599981,65.62138753900945,122175488.0,124452864.0,126144512.0,1.0498473652405664,1.0498473652405664,1.0498473652405664,0.9755514727077498,0.9755514727077498,0.9755514727077498,1.624639685512641,2.0395147612096856,2.050515657209642,130866.0,130866.0,130866.0,157500.0,157500.0,157500.0,147734.0,147792.0,147863.0,871819.0,872314.0,872786.0,1417011.0,1417052.0,1417178.0,802.0,802.0,802.0,18.621059257999995,18.727570001999993,18.939291364,0.9477272727272728,0.9727272727272728,0.975,0.9409090909090909,0.9477272727272728,0.9568181818181818,0.5436818517367561,0.5480411497095975,0.6363238236605211,0.05738852937095374,0.05765905603311389,0.06473425981150596,2.092618966186439,2.110861181911927,2.575148113849899
a08_2700_3600,C-all,3,3,65.52858007300529,65.53337045900116,65.6448776969919,118730752.0,118849536.0,120274944.0,1.0498473652405664,1.0498473652405664,1.0498473652405664,0.9755514727077498,0.9755514727077498,0.9755514727077498,3.6466951769353466,3.6641805785178074,3.6686924670323124,87401.0,87401.0,87401.0,157500.0,157500.0,157500.0,105260.0,105260.0,105261.0,692693.0,692697.0,692705.0,1422630.0,1422651.0,1422651.0,701.0,701.0,701.0,18.469312764000005,18.48979996000001,18.492816413000007,0.9272727272727272,0.9295454545454546,0.9295454545454546,0.9022727272727272,0.9022727272727272,0.9113636363636364,0.12348052372724995,0.12462262363640828,0.12912573745833283,0.032522083885611605,0.032547824900859716,0.032689065142352404,1.1278344274528094,1.129375575428092,1.1351800995390045
afrl_cemetery_s135_d045,B,3,3,65.0291363389988,65.0416489400086,65.1336914650019,97427456.0,97517568.0,97722368.0,1.3830589021090418,1.3830589021090418,1.3830589021090418,0.9662823862083273,0.9662823862083273,0.9662823862083273,8.940009482410979,8.956812082203907,8.962511913191978,0.0,0.0,0.0,124950.0,124950.0,124950.0,0.0,0.0,0.0,0.0,0.0,0.0,830402.0,830787.0,831045.0,467.0,467.0,467.0,9.02362570999999,9.053802935999997,9.140432440999998,0.3391304347826087,0.34782608695652173,0.3652173913043478,0.2985507246376812,0.3159420289855073,0.32753623188405795,0.5344467074097239,0.5360829122691392,0.5385852942595348,0.06529030477001668,0.06539446330586443,0.06576428169532751,1.2529695830236045,1.253976805790302,1.2554110724326513
afrl_cemetery_s135_d045,L6,3,3,64.83676574300625,65.03787633599131,65.04101873798936,95969280.0,96542720.0,98807808.0,1.3830589021090418,1.3830589021090418,1.3830589021090418,0.9662823862083273,0.9662823862083273,0.9662823862083273,8.943222998858399,8.952060338437157,8.9526335762417,1792.0,1792.0,1792.0,124950.0,124950.0,124950.0,1637.0,1637.0,1637.0,7976.0,7976.0,7976.0,829854.0,830020.0,830029.0,473.0,473.0,473.0,9.210989286999991,9.357790922000014,9.448860881999996,0.3652173913043478,0.3710144927536232,0.42028985507246375,0.3188405797101449,0.32753623188405795,0.3536231884057971,0.5360594061911843,0.5361085883986694,0.5388212463822675,0.06546589523633384,0.06548275033962056,0.06577368460764693,1.253973139215765,1.2540009334471167,1.2556122387656756
afrl_cemetery_s135_d045,L-all,3,3,64.73522848499124,64.83755859499797,65.1335541360022,98246656.0,99057664.0,104751104.0,1.3830589021090418,1.3830589021090418,1.3830589021090418,0.9662823862083273,0.9662823862083273,0.9662823862083273,8.970419046683476,8.971796517988594,8.9846288126359,10977.0,10977.0,10977.0,124950.0,124950.0,124950.0,10398.0,10407.0,10426.0,51372.0,51399.0,51534.0,830775.0,830992.0,831338.0,576.0,577.0,577.0,9.366193621999988,9.57123634099999,9.668795910000002,0.41739130434782606,0.4405797101449275,0.4666666666666667,0.3884057971014493,0.4,0.42028985507246375,0.5299067545078128,0.5320151652628784,0.5321964587067606,0.06476299402755246,0.06505339472245524,0.06508397220652354,1.2503501541855206,1.251562075254451,1.251671190568504
afrl_cemetery_s135_d045,C-all,3,3,64.93404098499741,64.94419167599699,65.04753592899942,97624064.0,99094528.0,99520512.0,1.3830589021090418,1.3830589021090418,1.3830589021090418,0.9662823862083273,0.9662823862083273,0.9662823862083273,8.963164812273025,8.96588565433428,8.976356600575041,6656.0,6656.0,6656.0,124950.0,124950.0,124950.0,6106.0,6106.0,6122.0,29798.0,29798.0,29894.0,831772.0,831837.0,832154.0,556.0,556.0,556.0,9.098367831000004,9.228057204999995,9.399780067,0.3710144927536232,0.40869565217391307,0.40869565217391307,0.34492753623188405,0.36231884057971014,0.3652173913043478,0.5318935409415197,0.5338408606583988,0.5341350883147737,0.06493023798247957,0.06515763394191748,0.0652031687954237,1.2515237880746028,1.2526692454176092,1.2528406418055695
