run_slug,arm,stage,wall_s,merge_wall_s,peak_rss_kib,timing_scope,timing_breakdown,repeat,solver_calls,solver_near_time_limit_count,max_solver_s
afrl_cemetery_s135_d045,B,frontend,REUSED,1.8287630780105246,1313852,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 17.03107653715415, ""classical_gftt_tracking_generation_s"": 144.73455168701184, ""image_preprocessing_s"": 58.97997197274526, ""xfeat_eligibility_s"": 19.74137568610604, ""xfeat_tracking_generation_s"": 143.1673520469194}",,,,
afrl_cemetery_s135_d045,L6,frontend,385.40297932500835,7.042233075000695,1313852,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 17.03107653715415, ""classical_gftt_tracking_generation_s"": 144.73455168701184, ""image_preprocessing_s"": 58.97997197274526, ""xfeat_eligibility_s"": 19.74137568610604, ""xfeat_tracking_generation_s"": 143.1673520469194}",,,,
afrl_cemetery_s135_d045,L-all,frontend,385.40297932500835,7.678542034002021,1313852,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 17.03107653715415, ""classical_gftt_tracking_generation_s"": 144.73455168701184, ""image_preprocessing_s"": 58.97997197274526, ""xfeat_eligibility_s"": 19.74137568610604, ""xfeat_tracking_generation_s"": 143.1673520469194}",,,,
afrl_cemetery_s135_d045,C-all,frontend,385.40297932500835,7.356698324991157,1313852,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 17.03107653715415, ""classical_gftt_tracking_generation_s"": 144.73455168701184, ""image_preprocessing_s"": 58.97997197274526, ""xfeat_eligibility_s"": 19.74137568610604, ""xfeat_tracking_generation_s"": 143.1673520469194}",,,,
h07_0_1000,B,frontend,REUSED,2.5379706289968453,1389588,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 20.467658758949256, ""classical_gftt_tracking_generation_s"": 151.41647593813832, ""image_preprocessing_s"": 47.10979095233779, ""xfeat_eligibility_s"": 34.60193400127173, ""xfeat_tracking_generation_s"": 179.12221239955397}",,,,
h07_0_1000,B,backend,69.85223990099621,,95688.0,,,1,489,143,0.044684239
h07_0_1000,B,backend,69.94717591900553,,95812.0,,,2,489,147,0.045671491
h07_0_1000,B,backend,69.93808284201077,,97088.0,,,3,489,151,0.047215659
h07_0_1000,L6,frontend,447.0134313390008,10.706779744010419,1389588,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 20.467658758949256, ""classical_gftt_tracking_generation_s"": 151.41647593813832, ""image_preprocessing_s"": 47.10979095233779, ""xfeat_eligibility_s"": 34.60193400127173, ""xfeat_tracking_generation_s"": 179.12221239955397}",,,,
h07_0_1000,L6,backend,69.74508916201012,,98240.0,,,1,489,132,0.045806474
h07_0_1000,L6,backend,69.8435348179919,,97288.0,,,2,489,151,0.046235081
h07_0_1000,L6,backend,70.14641007500177,,98400.0,,,3,489,153,0.046457628
h07_0_1000,L-all,frontend,447.0134313390008,11.911872223005048,1389588,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 20.467658758949256, ""classical_gftt_tracking_generation_s"": 151.41647593813832, ""image_preprocessing_s"": 47.10979095233779, ""xfeat_eligibility_s"": 34.60193400127173, ""xfeat_tracking_generation_s"": 179.12221239955397}",,,,
h07_0_1000,L-all,backend,69.8528029309964,,102336.0,,,1,489,233,0.045247922
h07_0_1000,L-all,backend,69.99548616200627,,100896.0,,,2,489,245,0.045420199
h07_0_1000,L-all,backend,69.86277616799634,,103160.0,,,3,489,222,0.046575908
h07_0_1000,C-all,frontend,447.0134313390008,11.209300300994073,1389588,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 20.467658758949256, ""classical_gftt_tracking_generation_s"": 151.41647593813832, ""image_preprocessing_s"": 47.10979095233779, ""xfeat_eligibility_s"": 34.60193400127173, ""xfeat_tracking_generation_s"": 179.12221239955397}",,,,
h07_0_1000,C-all,backend,70.0043757300009,,99816.0,,,1,489,130,0.048316811
h07_0_1000,C-all,backend,70.00182226400648,,97720.0,,,2,489,147,0.047116289
h07_0_1000,C-all,backend,69.95190801199351,,99252.0,,,3,489,150,0.045630913
