run_slug,source,scope,reason,count
afrl_cemetery_s135_d045,xfeat,eligibility_observations,duplicate_KLT_or_prior_candidate,54310
afrl_cemetery_s135_d045,xfeat,eligibility_observations,quality,9
afrl_cemetery_s135_d045,xfeat,geometry_frame_status,no_sidecar,17
afrl_cemetery_s135_d045,xfeat,geometry_frame_status,accepted_feh_residual_stable,340
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,backward_fail,142
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,border_fail,821
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,fb_fail,2854
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,forward_fail,1989
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,generator_seed_limit,80970
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,ncc_fail,15374
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,seed_boundary,2568
afrl_cemetery_s135_d045,xfeat,generation_or_tracking_cumulative,seed_duplicate_private,325897
afrl_cemetery_s135_d045,classical_gftt,eligibility_observations,geometry,95
afrl_cemetery_s135_d045,classical_gftt,eligibility_observations,source_history_missing,11557
afrl_cemetery_s135_d045,classical_gftt,eligibility_observations,duplicate_KLT_or_prior_candidate,74592
afrl_cemetery_s135_d045,classical_gftt,eligibility_observations,quality,2
afrl_cemetery_s135_d045,classical_gftt,geometry_frame_status,no_sidecar,40
afrl_cemetery_s135_d045,classical_gftt,geometry_frame_status,accepted_feh_residual_stable,317
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,backward_fail,190
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,border_fail,1014
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,fb_fail,3473
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,forward_fail,2243
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,generator_seed_limit,26646
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,ncc_fail,12760
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,seed_boundary,4170
afrl_cemetery_s135_d045,classical_gftt,generation_or_tracking_cumulative,seed_duplicate_private,300879
afrl_cemetery_s135_d045,L6,publication_admit,valid,588
afrl_cemetery_s135_d045,L6,publication_terminate,source_missing_or_invalid,582
afrl_cemetery_s135_d045,L6,publication_continue,valid,1204
afrl_cemetery_s135_d045,L6,publication_reject,L6_quantity,9185
afrl_cemetery_s135_d045,L-all,publication_admit,valid,3449
afrl_cemetery_s135_d045,L-all,publication_terminate,source_missing_or_invalid,3442
afrl_cemetery_s135_d045,L-all,publication_continue,valid,7528
afrl_cemetery_s135_d045,C-all,publication_admit,valid,2182
afrl_cemetery_s135_d045,C-all,publication_terminate,source_missing_or_invalid,2182
afrl_cemetery_s135_d045,C-all,publication_continue,valid,4474
h07_0_1000,xfeat,eligibility_observations,geometry,527
h07_0_1000,xfeat,eligibility_observations,source_history_missing,12111
h07_0_1000,xfeat,eligibility_observations,duplicate_KLT_or_prior_candidate,126507
h07_0_1000,xfeat,eligibility_observations,quality,35
h07_0_1000,xfeat,geometry_frame_status,no_sidecar,22
h07_0_1000,xfeat,geometry_frame_status,accepted_feh_residual_stable,477
h07_0_1000,xfeat,geometry_frame_status,all_sidecars_fail_feh,1
h07_0_1000,xfeat,generation_or_tracking_cumulative,backward_fail,95
h07_0_1000,xfeat,generation_or_tracking_cumulative,border_fail,1817
h07_0_1000,xfeat,generation_or_tracking_cumulative,fb_fail,3113
h07_0_1000,xfeat,generation_or_tracking_cumulative,forward_fail,402
h07_0_1000,xfeat,generation_or_tracking_cumulative,generator_seed_limit,16999
h07_0_1000,xfeat,generation_or_tracking_cumulative,ncc_fail,18013
h07_0_1000,xfeat,generation_or_tracking_cumulative,seed_boundary,4549
h07_0_1000,xfeat,generation_or_tracking_cumulative,seed_duplicate_private,617100
