stage,sequence,case,base_offset,arm,input_points,visible_input_points,invisible_input_points,accepted,correct,wrong_accepted,invisible_accepted,accepted_error_median_px,accepted_error_p95_px,wall_s,xfeat_matching_s,chains_ge4_outputs,continuation_outputs_median,continuation_outputs_max
controlled,A08,small,150,B,350,347,3,343,343,0,0,0.04053637845936928,0.15114341410282886,0.037701029010349885,0.0,,,
controlled,A08,small,150,C,7,4,3,0,0,0,0,,,0.00313543900847435,0.0,,,
controlled,A08,small,150,L,7,4,3,0,0,0,0,,,0.028609625005628914,0.026211863005300984,,,
controlled,A08,large,150,B,350,333,17,5,3,2,0,0.7565362069718595,139.11359614939408,0.05065161001402885,0.0,,,
controlled,A08,large,150,C,345,328,17,0,0,0,0,,,0.0005531750211957842,0.0,,,
controlled,A08,large,150,L,345,328,17,0,0,0,0,,,0.0264460850157775,0.02590013001463376,,,
controlled,A08,illumination_blur,150,B,350,348,2,322,318,4,0,0.3270097858693267,1.3328853248990544,0.03957035799976438,0.0,,,
controlled,A08,illumination_blur,150,C,28,26,2,11,11,0,0,0.39613406809907403,1.3994395747549222,0.008967924019088969,0.0,,,
controlled,A08,illumination_blur,150,L,28,26,2,3,3,0,0,0.43719019960616345,0.7447141839360626,0.039095732994610444,0.025117773009696975,,,
controlled,A08,outside_occluded,150,B,350,226,124,82,81,1,0,0.23943978047668246,0.9131888149480096,0.050482499005738646,0.0,,,
controlled,A08,outside_occluded,150,C,268,144,124,93,93,0,0,0.2555693242596256,0.9028703489312526,0.06748340601916425,0.0,,,
controlled,A08,outside_occluded,150,L,268,144,124,37,37,0,0,0.257145841634117,0.6872317550071577,0.12055834900820628,0.025283004011726007,,,
natural_paired,A08,real_adjacent,,C,439,,,4,Unknown,Unknown,,,,,,1,1.0,91
natural_stream,A08,real_adjacent,,C,442,,,4,Unknown,Unknown,,,,,,1,1.0,91
natural_paired,A08,real_adjacent,,L,439,,,0,Unknown,Unknown,,,,,,0,0,0
natural_stream,A08,real_adjacent,,L,439,,,0,Unknown,Unknown,,,,,,0,0,0
controlled,H02,small,0,B,350,335,15,322,322,0,0,0.03781813889368766,0.16254523747951083,0.03873368600034155,0.0,,,
controlled,H02,small,0,C,28,13,15,4,4,0,0,0.062149599157208024,0.09472575368201706,0.006912707001902163,0.0,,,
controlled,H02,small,0,L,28,13,15,0,0,0,0,,,0.9315310299862176,0.9213640409871005,,,
controlled,H02,large,0,B,350,293,57,138,137,1,1,0.21436200174727502,0.47504913389064174,0.035143800982041284,0.0,,,
controlled,H02,large,0,C,212,156,56,86,86,0,0,0.2150474179096396,0.48002230283521774,0.03134738400694914,0.0,,,
controlled,H02,large,0,L,212,156,56,16,16,0,0,0.17373639041650732,0.36868310934432474,0.09926415400695987,0.014834444009466097,,,
controlled,H02,illumination_blur,0,B,350,327,23,188,183,5,0,0.4182399072536571,1.6418665912268104,0.03741070398245938,0.0,,,
controlled,H02,illumination_blur,0,C,162,139,23,32,31,1,0,0.7218801787109259,1.4205376837207238,0.026473737001651898,0.0,,,
controlled,H02,illumination_blur,0,L,162,139,23,4,4,0,0,0.554114621982747,0.8634494505769172,0.07184503701864742,0.014892524020979181,,,
controlled,H02,outside_occluded,0,B,350,270,80,68,68,0,0,0.1403394220829588,0.4559797212786227,0.03587823800626211,0.0,,,
controlled,H02,outside_occluded,0,C,282,202,80,60,60,0,0,0.11296398950881795,0.26708938592522663,0.0641068420081865,0.0,,,
controlled,H02,outside_occluded,0,L,282,202,80,8,8,0,0,0.0834375222420685,0.30567405934119,0.11537337099434808,0.01501608599210158,,,
controlled,H02,small,50,B,350,337,13,323,323,0,0,0.034671255972933274,0.13378324877335426,0.0382360210060142,0.0,,,
controlled,H02,small,50,C,27,14,13,0,0,0,0,,,0.004778286995133385,0.0,,,
controlled,H02,small,50,L,27,14,13,0,0,0,0,,,0.029348675976507366,0.016745562985306606,,,
controlled,H02,large,50,B,350,282,68,88,88,0,0,0.17138358421787198,0.4946406454225129,0.03459997600293718,0.0,,,
controlled,H02,large,50,C,262,194,68,109,109,0,0,0.24145921562285705,0.6761201820866508,0.041257420991314575,0.0,,,
controlled,H02,large,50,L,262,194,68,30,30,0,0,0.24672333151448256,0.6463375015262799,0.11166704498464242,0.01689888400142081,,,
controlled,H02,illumination_blur,50,B,350,329,21,199,197,2,0,0.3801327004191458,1.4747370671417153,0.0368473980051931,0.0,,,
controlled,H02,illumination_blur,50,C,151,130,21,36,35,1,1,0.4475310105037371,1.3985143052475584,0.02646192698739469,0.0,,,
controlled,H02,illumination_blur,50,L,151,130,21,5,5,0,0,0.361571607215156,1.251112670681367,0.07429012100328691,0.016552999994019046,,,
controlled,H02,outside_occluded,50,B,350,266,84,91,91,0,0,0.13555231020094965,0.4572505210168415,0.034600637009134516,0.0,,,
controlled,H02,outside_occluded,50,C,259,175,84,43,42,1,1,0.14728402032758522,0.6947620741706783,0.050527482002507895,0.0,,,
controlled,H02,outside_occluded,50,L,259,175,84,10,10,0,0,0.22503996463407433,0.5470801095830302,0.10522952300379984,0.016425328998593614,,,
controlled,H02,small,100,B,350,342,8,330,330,0,0,0.03511893710713229,0.1505558508384236,0.0409361379861366,0.0,,,
controlled,H02,small,100,C,20,12,8,1,1,0,0,0.015124488100377509,0.015124488100377509,0.006066458998247981,0.0,,,
controlled,H02,small,100,L,20,12,8,0,0,0,0,,,0.0258402909967117,0.01620303699746728,,,
controlled,H02,large,100,B,350,282,68,55,55,0,0,0.19521154742022595,0.42149377647766917,0.03407402100856416,0.0,,,
controlled,H02,large,100,C,295,227,68,114,114,0,0,0.21638328056664108,0.6263106809639986,0.04008343000896275,0.0,,,
controlled,H02,large,100,L,295,227,68,32,32,0,0,0.19767195945928084,0.5735064111179293,0.13021649600705132,0.016390108998166397,,,
controlled,H02,illumination_blur,100,B,350,329,21,204,199,5,0,0.28219529474984306,1.0697910082311202,0.03704247099813074,0.0,,,
controlled,H02,illumination_blur,100,C,146,125,21,24,24,0,0,0.5038978384285816,1.3259319860947485,0.02701660298043862,0.0,,,
controlled,H02,illumination_blur,100,L,146,125,21,2,2,0,0,0.7389702647654847,1.0285769175254862,0.06699677000869997,0.01575703200069256,,,
controlled,H02,outside_occluded,100,B,350,261,89,52,52,0,0,0.13793542504081546,0.5211610321222819,0.035385063994908705,0.0,,,
controlled,H02,outside_occluded,100,C,298,209,89,53,53,0,0,0.16868271247415503,0.6428027964802137,0.046184759004972875,0.0,,,
controlled,H02,outside_occluded,100,L,298,209,89,13,13,0,0,0.15208813734317786,0.4252454669834296,0.12058085098396987,0.01569786199252121,,,
controlled,H02,small,150,B,350,333,17,329,329,0,0,0.0276276237683397,0.09098823323928014,0.03819335100706667,0.0,,,
controlled,H02,small,150,C,21,4,17,0,0,0,0,,,0.004705746017862111,0.0,,,
controlled,H02,small,150,L,21,4,17,0,0,0,0,,,0.02597599200089462,0.01716562599176541,,,
controlled,H02,large,150,B,350,269,81,3,3,0,0,0.2506870694213324,0.836731484499645,0.0292131949972827,0.0,,,
controlled,H02,large,150,C,347,266,81,0,0,0,0,,,0.0005813460156787187,0.0,,,
controlled,H02,large,150,L,347,266,81,0,0,0,0,,,0.01750173099571839,0.01699792599538341,,,
controlled,H02,illumination_blur,150,B,350,321,29,225,224,1,0,0.23026103044335414,1.0174444840867942,0.03846094399341382,0.0,,,
controlled,H02,illumination_blur,150,C,125,96,29,30,30,0,0,0.2881976494607864,0.9857459946775624,0.022582618985325098,0.0,,,
controlled,H02,illumination_blur,150,L,125,96,29,1,1,0,0,0.9685701447772234,0.9685701447772234,0.05958487099269405,0.017251479002879933,,,
controlled,H02,outside_occluded,150,B,350,250,100,28,25,3,2,0.1092969033323885,0.24082920895672816,0.03491956999641843,0.0,,,
controlled,H02,outside_occluded,150,C,322,224,98,0,0,0,0,,,0.054762992018368095,0.0,,,
