position,direct_frame_index,ros_frame_index,direct_normalized_index,ros_normalized_index,normalized_index_match,direct_grid_coverage,ros_grid_coverage,abs_diff_grid_coverage,direct_dropout_ratio,ros_dropout_ratio,abs_diff_dropout_ratio,direct_flat_region_ratio,ros_flat_region_ratio,abs_diff_flat_region_ratio,direct_degradation_score,ros_degradation_score,abs_diff_degradation_score
10,2220,10,10,10,true,0.875,0.875,0.0,0.07714285714285714,0.07714285714285714,0.0,0.25,0.25,0.0,0.27968109043123335,0.27968109043123335,0.0
11,2221,11,11,11,true,0.8333333333333334,0.8333333333333334,0.0,0.09428571428571429,0.09428571428571429,0.0,0.2916666666666667,0.2916666666666667,0.0,0.282354072096911,0.282354072096911,0.0
12,2222,12,12,12,true,0.8333333333333334,0.8333333333333334,0.0,0.06857142857142857,0.06857142857142857,0.0,0.25,0.25,0.0,0.28002391278863226,0.28002391278863226,0.0
13,2223,13,13,13,true,0.8333333333333334,0.8333333333333334,0.0,0.09428571428571429,0.09428571428571429,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28171418965140416,0.28171418965140416,0.0
14,2224,14,14,14,true,0.7916666666666666,0.7916666666666666,0.0,0.09714285714285714,0.09714285714285714,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28212287242485024,0.28212287242485024,0.0
15,2225,15,15,15,true,0.7916666666666666,0.7916666666666666,0.0,0.09714285714285714,0.09714285714285714,0.0,0.2916666666666667,0.2916666666666667,0.0,0.2826101041551481,0.2826101041551481,0.0
16,2226,16,16,16,true,0.75,0.75,0.0,0.09428571428571429,0.09428571428571429,0.0,0.2916666666666667,0.2916666666666667,0.0,0.2827222039282331,0.2827222039282331,0.0
17,2227,17,17,17,true,0.75,0.75,0.0,0.09714285714285714,0.09714285714285714,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28297112800981483,0.28297112800981483,0.0
18,2228,18,18,18,true,0.75,0.75,0.0,0.10571428571428572,0.10571428571428572,0.0,0.25,0.25,0.0,0.2804770162699741,0.2804770162699741,0.0
19,2229,19,19,19,true,0.7916666666666666,0.7916666666666666,0.0,0.10285714285714286,0.10285714285714286,0.0,0.2916666666666667,0.2916666666666667,0.0,0.2828364570632952,0.2828364570632952,0.0
20,2230,20,20,20,true,0.75,0.75,0.0,0.08571428571428572,0.08571428571428572,0.0,0.2916666666666667,0.2916666666666667,0.0,0.2827938314238836,0.2827938314238836,0.0
21,2231,21,21,21,true,0.75,0.75,0.0,0.10857142857142857,0.10857142857142857,0.0,0.25,0.25,0.0,0.28073375320369276,0.28073375320369276,0.0
22,2232,22,22,22,true,0.7916666666666666,0.7916666666666666,0.0,0.06571428571428571,0.06571428571428571,0.0,0.25,0.25,0.0,0.28065192483092516,0.28065192483092516,0.0
23,2233,23,23,23,true,0.7916666666666666,0.7916666666666666,0.0,0.09428571428571429,0.09428571428571429,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28327279355736623,0.28327279355736623,0.0
24,2234,24,24,24,true,0.7916666666666666,0.7916666666666666,0.0,0.09428571428571429,0.09428571428571429,0.0,0.25,0.25,0.0,0.2808428800079844,0.2808428800079844,0.0
25,2235,25,25,25,true,0.7916666666666666,0.7916666666666666,0.0,0.08,0.08,0.0,0.25,0.25,0.0,0.28133049792167997,0.28133049792167997,0.0
26,2236,26,26,26,true,0.8333333333333334,0.8333333333333334,0.0,0.08285714285714285,0.08285714285714285,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28392319267450516,0.28392319267450516,0.0
27,2237,27,27,27,true,0.8333333333333334,0.8333333333333334,0.0,0.07142857142857142,0.07142857142857142,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28442564047205465,0.28442564047205465,0.0
28,2238,28,28,28,true,0.8333333333333334,0.8333333333333334,0.0,0.06,0.06,0.0,0.2916666666666667,0.2916666666666667,0.0,0.2840092642951576,0.2840092642951576,0.0
29,2239,29,29,29,true,0.875,0.875,0.0,0.07142857142857142,0.07142857142857142,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28413904494410314,0.28413904494410314,0.0
30,2240,30,30,30,true,0.875,0.875,0.0,0.06857142857142857,0.06857142857142857,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28430352462993436,0.28430352462993436,0.0
31,2241,31,31,31,true,0.875,0.875,0.0,0.06857142857142857,0.06857142857142857,0.0,0.2916666666666667,0.2916666666666667,0.0,0.28439448715694315,0.28439448715694315,0.0
