window_id,arm,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,fixed_evo_ape_abs_diff_m,fixed_evo_rpe_abs_diff_m,sim3_evo_ape_abs_diff_m,sim3_evo_rpe_abs_diff_m
a06_s045_d045,klt,2,42,41,0.25771463408599476,0.031055992115549422,0.8246581863408378,0.041092055500094676,0.013502519883848586,3.6591400526253537e-07,7.88445057506304e-09,5.5500094679750145e-08,4.801161514137592e-07
a06_s045_d045,klt,3,42,41,0.2577554399996261,0.031072808122449308,0.8246376832796458,0.04112614776988771,0.01352689585752858,4.3999962606733334e-07,1.918775506919157e-07,1.4776988770809352e-07,1.0414247142084831e-07
a06_s045_d045,splg,1,42,41,0.25774480338180633,0.031064951392566133,0.8246412654951149,0.041097162476147406,0.013510183880163338,1.9661819367078337e-07,4.860743386611577e-08,1.6247614740422245e-07,1.8388016333886759e-07
a06_s045_d045,splg,2,42,41,0.2577460384358431,0.031068828385688824,0.8246419343057676,0.04111290322245014,0.013519305698331178,3.843584311935544e-08,1.7161431117504455e-07,9.677754985587539e-08,3.056983311783973e-07
a06_s045_d045,splg,3,42,41,0.25787312552508845,0.03111855078086723,0.8245734004029125,0.041165628647423465,0.013581593741701195,1.255250884346637e-07,4.4921913277054526e-07,3.713525765364212e-07,4.0625829880389097e-07
a06_s045_d045,xfeat_seed,1,42,41,0.20649660969628847,0.024422264654469485,0.8592252204579286,0.06539972366358561,0.016582125185536367,3.9030371154491483e-07,2.646544694853703e-07,2.763364143898439e-07,1.2518553636764462e-07
a06_s045_d045,xfeat_seed,2,42,41,0.2064475355630518,0.024404991338973715,0.8592550106641634,0.06538895306472164,0.016568148624073156,4.644369482054156e-07,8.66102628505061e-09,4.6935278358306576e-08,1.4862407315616166e-07
a06_s045_d045,xfeat_seed,3,42,41,0.20648331871430678,0.024420155234299735,0.8592331964594978,0.06539634808028674,0.0165809868190992,3.1871430677954393e-07,1.55234299734075e-07,3.480802867467103e-07,1.3180900797910011e-08
afrl_fl_s180_d045,klt,1,43,42,0.277798548530341,0.031323647218098175,1.115291971462652,0.030988728554298017,0.017125059792553327,4.514696589907885e-07,3.527819018231404e-07,2.7144570198187057e-07,5.979255332522193e-08
afrl_fl_s180_d045,klt,2,43,42,0.27780207264924534,0.03132973024230759,1.115293232497156,0.030996281546485132,0.017135381489375986,7.264924534178263e-08,2.69757692406003e-07,2.8154648513273317e-07,3.81489375984867e-07
afrl_fl_s180_d045,klt,3,43,42,0.2777982041287939,0.031323621526335825,1.1152917969071356,0.030988982475259563,0.017125102664979484,2.0412879392361916e-07,3.784736641726516e-07,1.7524740436591912e-08,1.0266497948302478e-07
afrl_fl_s180_d045,splg,1,43,42,0.27976567227842714,0.03152594195743527,1.1161752367321494,0.03174635889787079,0.01723630901076196,3.2772157287919157e-07,5.804256472674574e-08,3.5889787078358104e-07,3.090107619577176e-07
afrl_fl_s180_d045,splg,2,43,42,0.2798471447428247,0.03153491397648034,1.1162122006784498,0.031770879052374634,0.017242693933641702,1.4474282467036304e-07,8.60235196617487e-08,1.2094762536635217e-07,3.060663582993284e-07
