run_dir,run,has_ape,has_frontend_metrics,se3_ape_rmse_m,se3_ape_median_m,rpe_trans_rmse_m,rpe_trans_median_m,output_coverage_ratio,first_output_delay_s,init_success,tracking_lost_count_proxy,log_linear_solver_failures,log_failure_mentions,log_restart_mentions,feature_frames,exported_features_sum,exported_learned_features_sum,exported_non_loftr_learned_features_sum,exported_sp_lg_features_sum,exported_xfeat_features_sum,exported_loftr_features_sum,exported_recovered_features_sum,learned_candidate_count_sum,learned_confirmed_count_sum,recovered_count_sum,source_selection_dropped_sum,learned_export_gate_degraded_sum,learned_export_gate_dropped_sum,learned_export_geometry_dropped_sum,learned_export_benefit_dropped_sum,init_klt_only_active_sum,low_parallax_learned_holdoff_active_sum,exported_features_median,median_track_age_median,median_quality_median,median_backend_quality_median,median_classical_backend_quality_median,median_learned_backend_quality_median,classical_track_count_median,classical_grid_coverage_median,learned_export_grid_gain_median,learned_export_new_cells_median,classical_motion_px_median,classical_median_age_median,learned_export_gate_reason_counts,learned_export_benefit_reason_counts,learned_export_geometry_reason_counts,recovery_reason_counts,geometry_mode_counts,published_feature_bag,published_feature_bag_audit_status,published_feature_observations,published_learned_observations,published_loftr_observations,learned_really_exported,loftr_really_exported,safe_no_harm_candidate,learned_positive_candidate,warning
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_2800_3200_probe,external_hybrid_xfeat_every2_jul15screen6_a05_2800_3200_probe,0,1,,,,,,,,,,,,200,69999,0,0,0,0,0,0,18,3,3,4,0,4,0,4,0,0,350,16.5,0.230726,0.992821,0.992821,,350,0.875,,0,,,disabled:200,disabled:198;online_seed_basic:2,disabled:200,underwater_degradation+flat_regions+low_grid_texture:163;underwater_degradation:15;healthy:12;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:9;low_grid_coverage:1,planar_near_wall:177;degraded_texture:23,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_2800_3200_probe/features.bag,source_channels_audited,69999,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_0_400_probe,external_hybrid_xfeat_every2_jul15screen7_a08_0_400_probe,0,1,,,,,,,,,,,,200,68548,50,50,0,50,0,0,59,15,15,1470,0,1470,0,1470,0,0,350,109,0.350766,0.994117,0.994117,0.94,350,0.875,,0,,,disabled:200,disabled:126;online_seed_microburst:56;online_seed_budget:9;online_seed_microburst:online_seed_basic:6;online_seed_ok:2;online_seed_basic:1,disabled:200,healthy:181;low_grid_coverage:19,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_0_400_probe/features.bag,source_channels_audited,68548,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_400_800_probe,external_hybrid_xfeat_every2_jul15screen7_a08_400_800_probe,0,1,,,,,,,,,,,,200,69663,50,50,0,50,0,0,0,0,0,342,0,342,0,342,0,0,350,201,0.373977,0.994346,0.994346,0.94,350,0.875,,0,,,disabled:200,disabled:150;online_seed_microburst:34;online_seed_budget:6;online_seed_microburst:online_seed_basic:4;online_seed_basic:3;online_seed_ok:3,disabled:200,healthy:195;low_grid_coverage:5,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_400_800_probe/features.bag,source_channels_audited,69663,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_5600_6000_probe,external_hybrid_xfeat_every2_jul15screen7_a08_5600_6000_probe,0,1,,,,,,,,,,,,200,66876,9,9,0,9,0,0,401,188,188,3312,0,3312,0,3312,0,0,333,33,0.279729,0.99326,0.99326,0.94,333,0.75,,0,,,disabled:200,online_seed_microburst_no_extend:online_seed_basic:122;online_seed_microburst_no_extend:69;disabled:5;online_seed_basic:4,disabled:200,low_grid_coverage+illumination_nonuniformity:127;low_grid_coverage:45;illumination_nonuniformity:19;healthy:9,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_5600_6000_probe/features.bag,source_channels_audited,66876,9,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_800_1200_probe,external_hybrid_xfeat_every2_jul15screen7_a08_800_1200_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,105.5,0.365243,0.994265,0.994265,,350,0.916667,,0,,,disabled:200,disabled:200,disabled:200,healthy:200,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_800_1200_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_400_800_probe,external_hybrid_xfeat_every2_jul15screen8_a07_400_800_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,17,0.302666,0.993454,0.993454,,350,0.916667,,0,,,disabled:200,disabled:200,disabled:200,healthy:198;low_grid_coverage:2,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_400_800_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_5200_5600_probe,external_hybrid_xfeat_every2_jul15screen8_a07_5200_5600_probe,0,1,,,,,,,,,,,,200,69425,50,50,0,50,0,0,11,11,11,718,0,718,0,718,0,0,350,85.75,0.360566,0.99418,0.99418,0.94,350,0.875,,0,,,disabled:200,disabled:139;online_seed_microburst:32;online_seed_microburst:online_seed_basic:17;online_seed_budget:8;online_seed_basic:3;online_seed_basic:online_seed_budget:1,disabled:200,healthy:184;low_grid_coverage:16,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_5200_5600_probe/features.bag,source_channels_audited,69425,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_5600_6000_probe,external_hybrid_xfeat_every2_jul15screen8_a07_5600_6000_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,32,0.320113,0.993747,0.993747,,350,0.916667,,0,,,disabled:200,disabled:200,disabled:200,healthy:200,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_5600_6000_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_8400_8800_probe,external_hybrid_xfeat_every2_jul15screen8_a07_8400_8800_probe,0,1,,,,,,,,,,,,200,68744,50,50,0,50,0,0,56,34,34,1297,0,1297,0,1297,0,0,346.5,40,0.346034,0.993936,0.993936,0.94,345,0.833333,,0,,,disabled:200,online_seed_microburst:96;disabled:77;online_seed_microburst:online_seed_basic:15;online_seed_basic:online_seed_budget:8;online_seed_basic:4,disabled:200,healthy:106;low_grid_coverage+underwater_degradation:40;low_grid_coverage:33;underwater_degradation:16;underwater_degradation+flat_regions+low_grid_texture:5,normal:98;degraded_texture:66;planar_near_wall:36,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_8400_8800_probe/features.bag,source_channels_audited,68744,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe,external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe,0,1,,,,,,,,,,,,200,69624,7,7,0,7,0,0,29,20,20,403,0,403,0,403,0,0,349,55.5,0.327534,0.993815,0.993815,0.94,349,0.833333,,0,,,disabled:200,online_seed_microburst_no_extend:94;disabled:82;online_seed_microburst_no_extend:online_seed_basic:21;online_seed_basic:2;online_seed_ok:1,disabled:200,healthy:177;low_grid_coverage:23,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe/features.bag,source_channels_audited,69624,7,0,1,0,0,0,missing_ape
