run_dir,frames,xfeat_total,xfeat_frames,first_xfeat_frame,last_xfeat_frame,max_xfeat_per_frame,min_grid_on_xfeat_frames,first_xfeat_age,candidate_total,confirmed_total,pre_basic_total,geometry_on_xfeat_frames
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen11_a04_8000_8400_probe,200,50,6,35,40,15,0.75,3.0,45,22,135,degraded_texture:6
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen12_a10_3200_3600_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen12_a10_3600_4000_probe,200,19,9,88,96,3,0.625,3.0,74,46,642,degraded_texture:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen12_a10_4000_4400_probe,200,26,9,2,10,8,0.625,3.0,119,68,331,degraded_texture:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen21_a10_2800_3200_probe,200,21,9,116,124,3,0.8333333333333334,3.0,43,15,544,normal:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen23_a01_5600_6000_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen37_a10_4400_4800_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen38_a10_5200_5600_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen39_a10_9600_10000_probe,200,9,3,94,96,3,0.7916666666666666,4.0,14,3,762,normal:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen40_a10_0_400_probe,200,18,3,2,4,6,0.7916666666666666,4.0,58,42,1829,normal:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen40_a10_400_800_probe,200,50,4,2,5,18,0.7083333333333334,4.0,68,16,854,normal:4
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen41_a10_1200_1600_probe,200,0,0,,,0,,,150,80,3793,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen42_a10_2400_2800_probe,200,50,3,10,12,22,0.7916666666666666,3.0,82,42,3510,normal:3
