run_dir,run,has_ape,has_frontend_metrics,se3_ape_rmse_m,se3_ape_median_m,rpe_trans_rmse_m,rpe_trans_median_m,output_coverage_ratio,first_output_delay_s,init_success,tracking_lost_count_proxy,log_linear_solver_failures,log_failure_mentions,log_restart_mentions,feature_frames,exported_features_sum,exported_learned_features_sum,exported_non_loftr_learned_features_sum,exported_sp_lg_features_sum,exported_xfeat_features_sum,exported_loftr_features_sum,exported_recovered_features_sum,learned_candidate_count_sum,learned_confirmed_count_sum,recovered_count_sum,source_selection_dropped_sum,learned_export_gate_degraded_sum,learned_export_gate_dropped_sum,learned_export_geometry_dropped_sum,learned_export_benefit_dropped_sum,init_klt_only_active_sum,low_parallax_learned_holdoff_active_sum,exported_features_median,median_track_age_median,median_quality_median,median_backend_quality_median,median_classical_backend_quality_median,median_learned_backend_quality_median,classical_track_count_median,classical_grid_coverage_median,learned_export_grid_gain_median,learned_export_new_cells_median,classical_motion_px_median,classical_median_age_median,learned_export_gate_reason_counts,learned_export_benefit_reason_counts,learned_export_geometry_reason_counts,recovery_reason_counts,geometry_mode_counts,published_feature_bag,published_feature_bag_audit_status,published_feature_observations,published_learned_observations,published_loftr_observations,learned_really_exported,loftr_really_exported,safe_no_harm_candidate,learned_positive_candidate,warning
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s300_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s300_d30_probe,0,1,,,,,,,,,,,,150,31930,7,7,0,7,0,0,129,4,4,5,150,5,1,3,0,0,213,1,0.776345,0.876137,0.876137,0.869323,213,1,,0,0,1,low_classical_tracks:148;low_classical_tracks+learned_mode_extreme_textureless:2,disabled:145;online_seed_ok:3;online_seed_microburst_no_extend:2,disabled:144;accepted_feh_residual_stable:5;all_sidecars_fail_feh:1,low_track_count:150,degraded_texture:149;normal:1,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s300_d30_probe/features.bag,source_channels_audited,31930,7,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s30_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s30_d30_probe,0,1,,,,,,,,,,,,149,34180,8,8,0,8,0,0,125,31,31,68,149,68,18,45,0,0,230,3,0.440311,0.878178,0.878178,0.870286,230,1,,0,13.55,3,low_classical_tracks:149,disabled:140;online_seed_microburst_no_extend:6;online_seed_ok:3,disabled:140;accepted_feh_residual_stable:9,low_track_count:92;low_track_count+backscatter_or_low_contrast:57,normal:100;degraded_texture:49,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s30_d30_probe/features.bag,source_channels_audited,34180,8,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s330_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s330_d30_probe,0,1,,,,,,,,,,,,150,32641,0,0,0,0,0,0,5,0,0,0,150,0,0,0,0,0,219,1,0.683246,0.870044,0.870044,,219,1,,0,0,1,low_classical_tracks:148;low_classical_tracks+learned_mode_extreme_textureless:2,disabled:150,disabled:150,low_track_count:144;low_track_count+backscatter_or_low_contrast:6,degraded_texture:149;normal:1,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s330_d30_probe/features.bag,source_channels_audited,32641,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s360_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s360_d30_probe,0,1,,,,,,,,,,,,150,33195,0,0,0,0,0,0,13,0,0,0,150,0,0,0,0,0,222,1,0.664284,0.86885,0.86885,,222,1,,0,0,1,low_classical_tracks:148;low_classical_tracks+learned_mode_extreme_textureless:2,disabled:150,disabled:150,low_track_count:145;low_track_count+backscatter_or_low_contrast:5,degraded_texture:149;normal:1,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s360_d30_probe/features.bag,source_channels_audited,33195,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s390_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s390_d30_probe,0,1,,,,,,,,,,,,150,33270,6,6,0,6,0,0,57,4,4,26,150,26,1,15,0,0,222,1,0.653031,0.868239,0.868239,0.88848,222,1,,0,0,1,low_classical_tracks:148;low_classical_tracks+learned_mode_extreme_textureless:2,disabled:137;online_seed_microburst_no_extend:10;online_seed_ok:3,disabled:136;accepted_feh_residual_stable:13;all_sidecars_fail_feh:1,low_track_count:150,degraded_texture:149;normal:1,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s390_d30_probe/features.bag,source_channels_audited,33270,6,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s420_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s420_d30_probe,0,1,,,,,,,,,,,,150,32333,0,0,0,0,0,0,99,0,0,0,150,0,0,0,0,0,216,1,0.802296,0.877545,0.877545,,216,1,,0,0,1,low_classical_tracks:149;low_classical_tracks+learned_mode_extreme_textureless:1,disabled:150,disabled:150,low_track_count:150,degraded_texture:149;normal:1,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s420_d30_probe/features.bag,source_channels_audited,32333,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s480_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s480_d30_probe,0,1,,,,,,,,,,,,149,33978,16,16,0,16,0,0,60,13,13,73,149,73,0,69,0,0,227,2,0.52552,0.874649,0.874649,0.872216,227,1,,0,7.91096,2,low_classical_tracks:134;low_classical_tracks+learned_mode_extreme_textureless:15,disabled:121;online_seed_microburst_no_extend:25;online_seed_ok:3,disabled:121;accepted_feh_residual_stable:28,low_track_count:149,degraded_texture:91;normal:58,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s480_d30_probe/features.bag,source_channels_audited,33978,16,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s510_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s510_d30_probe,0,1,,,,,,,,,,,,150,35368,12,12,0,12,0,0,120,16,16,53,150,53,2,37,0,0,235,4.5,0.496774,0.880715,0.880715,0.872051,235,1,,0,14.8113,4.5,low_classical_tracks:150,disabled:141;online_seed_microburst_no_extend:6;online_seed_ok:3,disabled:141;accepted_feh_residual_stable:9,low_track_count:150,normal:137;degraded_texture:13,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s510_d30_probe/features.bag,source_channels_audited,35368,12,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s540_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s540_d30_probe,0,1,,,,,,,,,,,,150,34361,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,225,6,0.525304,0.880231,0.880231,,225,1,,0,10.4981,6,low_classical_tracks:150,disabled:150,disabled:150,low_track_count:150,normal:135;degraded_texture:15,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s540_d30_probe/features.bag,source_channels_audited,34361,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s60_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s60_d30_probe,0,1,,,,,,,,,,,,150,33964,4,4,0,4,0,0,117,27,27,150,150,150,1,71,0,0,226,3,0.424492,0.862633,0.862633,0.864511,226,1,,0,6.32636,3,low_classical_tracks:103;low_classical_tracks+learned_mode_extreme_textureless:47,disabled:119;online_seed_microburst_no_extend:28;online_seed_ok:3,disabled:119;accepted_feh_residual_stable:31,low_track_count+backscatter_or_low_contrast:137;low_track_count:13,normal:84;degraded_texture:66,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s60_d30_probe/features.bag,source_channels_audited,33964,4,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s630_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s630_d30_probe,0,1,,,,,,,,,,,,150,33301,2,2,0,2,0,0,6,3,3,15,150,15,4,6,0,0,222,1,0.691505,0.870598,0.870598,0.870606,222,1,,0,0,1,low_classical_tracks:150,disabled:142;online_seed_microburst_no_extend:6;online_seed_ok:2,disabled:138;accepted_feh_residual_stable:8;all_sidecars_fail_feh:4,low_track_count:150,degraded_texture:149;normal:1,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s630_d30_probe/features.bag,source_channels_audited,33301,2,0,1,0,0,0,missing_ape
