timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1725640025.8289287,1,0,0,0,0,-1
1725640025.9289286,1,0,0,0,0,-1
1725640026.0289288,1,0,0,0,0,-1
1725640026.1289287,1,0,0,0,0,-1
1725640026.2289286,1,0,0,0,0,-1
1725640026.3289287,1,0,0,0,0,-1
1725640026.4289286,1,0,0,0,0,-1
1725640026.5289288,1,0,0,0,0,-1
1725640026.6289287,1,0,0,0,0,-1
1725640026.7289286,1,0,0,0,0,-1
1725640026.8289287,1,0,0,0,0,-1
1725640026.9289286,1,0,0,0,0,-1
1725640027.0289288,1,0,0,0,0,-1
1725640027.1289287,1,0,0,0,0,-1
1725640027.2289286,1,0,0,0,0,-1
1725640027.3289287,1,0,0,0,0,-1
1725640027.4289286,1,0,0,0,0,-1
1725640027.5289288,1,0,0,0,0,-1
1725640027.6289287,1,0,0,0,0,-1
1725640027.7289286,1,0,0,0,0,-1
1725640027.8289287,1,0,0,0,0,-1
1725640027.9289286,1,0,0,0,0,-1
1725640028.0289288,1,0,0,0,0,-1
1725640028.1289287,1,0,0,0,0,-1
1725640028.2289286,1,0,0,0,0,-1
1725640028.3289287,1,0,0,0,0,-1
1725640028.4289286,1,0,0,0,0,-1
1725640028.5289288,1,0,0,0,0,-1
1725640028.6289287,1,0,0,0,0,-1
1725640028.7289286,1,0,0,0,0,-1
1725640028.8289287,1,0,0,0,0,-1
1725640028.9289286,1,0,0,0,0,-1
1725640029.0289288,1,0,0,0,0,-1
1725640029.1289287,1,0,0,0,0,-1
1725640029.2289286,1,0,0,0,0,-1
1725640029.3289287,1,0,0,0,0,-1
1725640029.4289286,1,0,0,0,0,-1
1725640029.5289288,1,0,0,0,0,-1
1725640029.6289287,1,0,0,0,0,-1
1725640029.7289286,1,0,0,0,0,-1
1725640029.8289287,1,0,0,0,0,-1
1725640029.9289286,1,0,0,0,0,-1
1725640030.0289288,1,0,0,0,0,-1
1725640030.1289287,1,0,0,0,0,-1
