family,run_dir,feature_frames,xfeat_observations,xfeat_active_frames,xfeat_first_frame,xfeat_last_frame,xfeat_max_per_frame
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen20_ntnu_fjord1_s240_d10_probe,100,31,10,3,82,7
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain3_h04_2000_2360_probe,180,30,30,144,173,1
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_lineage_tail_ntnu_fjord1_s85_d10_probe_oldcontract_densecap,100,26,10,2,34,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s90_d10_probe,100,24,9,23,31,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen16_ntnu_mclab2_s280_d10_probe,100,23,9,17,51,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun24_s900_d30_age5_noformal_mirror_cap20_probe,150,20,6,10,15,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun24_s900_d30_age5_noformal_mirror_nosafesel_cap20_probe,150,20,6,10,15,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s92_d10_probe_oldcontract_densecap,100,19,3,2,4,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_more_ntnu_fjord5_s73_d10_probe_oldcontract_densecap,100,19,3,50,52,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor3_ntnu_fjord1_s83p4_d10_probe_oldcontract_densecap,100,19,3,1,3,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_3_s80_d10_probe_oldcontract_densecap,100,19,3,20,22,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen17_ntnu_fjord4_s260_d10_probe,100,19,9,48,56,3
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_3200_3600_probe,200,18,9,13,21,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_guarded_scan_ntnu_fjord5_s72_d10_probe_oldcontract_densecap,100,18,3,5,7,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s500_d10_probe,100,18,9,4,12,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain2_fjord_1_s30_d30_probe,300,18,3,31,33,7
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul03_guarded_earlyseed_h07_1660_1740_probe_oldcontract_densecap,40,17,3,2,4,8
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul06_motiondiag_h07_1660_1740_probe_oldcontract_densecap,40,17,3,2,4,8
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1660_1740,40,17,3,2,4,8
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen14_h04_800_1200_probe,200,17,9,188,196,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul05_probe_shift_ntnu_fjord3_s90p5_d10_probe_oldcontract_densecap,100,17,3,3,5,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab2_s70_d10,100,17,3,10,12,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_fjord4_s110_d10,100,17,3,18,20,8
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen18_ntnu_fjord5_s240_d10_probe,100,17,13,15,52,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s70_d10_probe,100,17,12,7,29,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_mclab_1_s0_d30_probe,290,17,3,8,10,7
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen14_h04_1600_2000_probe,200,16,11,62,83,2
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s480_d30_probe,149,16,3,19,21,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s480_d30_probe_oldcontract_densecap,149,16,3,19,21,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s480_d30_probe_oldcontract_densecap,149,16,3,19,21,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s70_d10_probe_oldcontract_densecap,100,16,3,6,8,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s87_d10_probe_oldcontract_densecap,100,16,3,1,3,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_lineage_tail2_ntnu_fjord1_s85_d10_probe_oldcontract_densecap,100,16,4,2,5,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe2_ntnu_mclab1_s60_d10,100,16,3,9,11,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab1_s65_d10,100,16,3,3,5,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab1_s70_d10,100,16,3,29,31,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_probe_more3_ntnu_mclab_2_s170_d10,100,16,3,21,23,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul10_current_mclab1_s60_d15_probe_oldcontract_densecap,150,16,3,9,11,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul10_maturelineage_mclab1_s60_d15_probe_oldcontract_densecap,150,16,3,9,11,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul10_maturelineage_mclab1_s60_d20_probe_oldcontract_densecap,200,16,3,9,11,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab1_s60_d15_probe_oldcontract_densecap,150,16,3,9,11,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen16_ntnu_mclab1_s180_d10_probe,100,16,10,20,39,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen18_ntnu_fjord5_s220_d10_probe,100,16,15,48,62,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen32_ntnu_fjord2_s430_d10_probe,100,16,3,8,10,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14_frozenneg_cirs_s960_d30_probe_oldcontract_densecap,150,15,3,8,10,7
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s960_d30_probe_oldcontract_densecap,150,15,3,8,10,7
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s960_d30_probe_oldcontract_densecap,150,15,3,8,10,7
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s960_d30_probe_oldcontract_densecap,150,15,3,8,10,7
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_trial_s960_d30_probe_oldcontract_densecap,150,15,3,8,10,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul06_more_ntnu_f3_s88_d10_probe_oldcontract_densecap,100,15,3,13,15,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_3_s60_d10_probe_oldcontract_densecap,100,15,3,37,39,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_fjord3_s20_d10,100,15,3,75,77,5
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul06_gap_cirs_s580_d30_probe_oldcontract_densecap,150,14,3,47,49,9
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s0_d30_probe,151,14,3,143,145,5
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s570_d30_probe_oldcontract_densecap,150,14,3,97,99,9
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s570_d30_probe_oldcontract_densecap,150,14,3,97,99,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul01_probe_initsafe_cap14_ntnu_fjord1_s85_d10,100,14,5,21,35,4
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_profile_earlyseed_v2_ntnu_fjord1_s85_d10_probe_oldcontract_densecap,100,14,3,2,4,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s80_d10_probe_oldcontract_densecap,100,14,3,1,3,6
