candidate_id,window,trajectory_kind,role,repeat,metric,control,candidate_rmse_m,control_rmse_m,absolute_difference_m,relative_change_pct
A08_4500_4660,4500-4660,reconstructed,full,2,rpe_rmse_m,full_unbounded,0.240456000,0.244732000,-0.004276000,-1.747217364
A08_4500_4660,4500-4660,reconstructed,full,3,ape_rmse_m,orb_only,0.124809000,0.183661000,-0.058852000,-32.043819864
A08_4500_4660,4500-4660,reconstructed,full,3,rpe_rmse_m,orb_only,0.240456000,0.332345000,-0.091889000,-27.648678331
A08_4500_4660,4500-4660,reconstructed,full,3,ape_rmse_m,full_unbounded,0.124809000,0.132964000,-0.008155000,-6.133239072
A08_4500_4660,4500-4660,reconstructed,full,3,rpe_rmse_m,full_unbounded,0.240456000,0.244732000,-0.004276000,-1.747217364
A08_4500_4660,4500-4660,reconstructed,full,4,ape_rmse_m,orb_only,0.124809000,0.183661000,-0.058852000,-32.043819864
A08_4500_4660,4500-4660,reconstructed,full,4,rpe_rmse_m,orb_only,0.240456000,0.332345000,-0.091889000,-27.648678331
A08_4500_4660,4500-4660,reconstructed,full,4,ape_rmse_m,full_unbounded,0.124809000,0.132964000,-0.008155000,-6.133239072
A08_4500_4660,4500-4660,reconstructed,full,4,rpe_rmse_m,full_unbounded,0.240456000,0.244732000,-0.004276000,-1.747217364
A08_4500_4660,4500-4660,online,full,1,ape_rmse_m,orb_only,0.180265000,0.120957000,0.059308000,49.032300735
A08_4500_4660,4500-4660,online,full,1,rpe_rmse_m,orb_only,0.321966000,0.308958000,0.013008000,4.210281009
A08_4500_4660,4500-4660,online,full,1,ape_rmse_m,full_unbounded,0.180265000,0.177190000,0.003075000,1.735425250
A08_4500_4660,4500-4660,online,full,1,rpe_rmse_m,full_unbounded,0.321966000,0.323685000,-0.001719000,-0.531071875
A08_4500_4660,4500-4660,online,full,2,ape_rmse_m,orb_only,0.180265000,0.120957000,0.059308000,49.032300735
A08_4500_4660,4500-4660,online,full,2,rpe_rmse_m,orb_only,0.321966000,0.308958000,0.013008000,4.210281009
A08_4500_4660,4500-4660,online,full,2,ape_rmse_m,full_unbounded,0.180265000,0.177190000,0.003075000,1.735425250
A08_4500_4660,4500-4660,online,full,2,rpe_rmse_m,full_unbounded,0.321966000,0.323685000,-0.001719000,-0.531071875
A08_4500_4660,4500-4660,online,full,3,ape_rmse_m,orb_only,0.180265000,0.120957000,0.059308000,49.032300735
A08_4500_4660,4500-4660,online,full,3,rpe_rmse_m,orb_only,0.321966000,0.308958000,0.013008000,4.210281009
A08_4500_4660,4500-4660,online,full,3,ape_rmse_m,full_unbounded,0.180265000,0.177190000,0.003075000,1.735425250
A08_4500_4660,4500-4660,online,full,3,rpe_rmse_m,full_unbounded,0.321966000,0.323685000,-0.001719000,-0.531071875
A08_4500_4660,4500-4660,online,full,4,ape_rmse_m,orb_only,0.180265000,0.120957000,0.059308000,49.032300735
A08_4500_4660,4500-4660,online,full,4,rpe_rmse_m,orb_only,0.321966000,0.308958000,0.013008000,4.210281009
A08_4500_4660,4500-4660,online,full,4,ape_rmse_m,full_unbounded,0.180265000,0.177190000,0.003075000,1.735425250
A08_4500_4660,4500-4660,online,full,4,rpe_rmse_m,full_unbounded,0.321966000,0.323685000,-0.001719000,-0.531071875
A10_400_800,400-800,reconstructed,orb_only,1,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,1,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,2,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,2,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,3,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,3,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,4,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,orb_only,4,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,1,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,1,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,2,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,2,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,3,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,3,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,4,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,orb_only,4,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,1,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,1,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,2,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,2,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,3,ape_rmse_m,orb_only,0.006635000,0.006635000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,3,rpe_rmse_m,orb_only,0.008756000,0.008756000,0.000000000,0.000000000
A10_400_800,400-800,reconstructed,drop,4,ape_rmse_m,orb_only,0.008144000,0.006635000,0.001509000,22.743029390
A10_400_800,400-800,reconstructed,drop,4,rpe_rmse_m,orb_only,0.009268000,0.008756000,0.000512000,5.847418913
A10_400_800,400-800,online,drop,1,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,drop,1,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,online,drop,2,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,drop,2,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,online,drop,3,ape_rmse_m,orb_only,0.019281000,0.019281000,0.000000000,0.000000000
A10_400_800,400-800,online,drop,3,rpe_rmse_m,orb_only,0.020535000,0.020535000,0.000000000,0.000000000
A10_400_800,400-800,online,drop,4,ape_rmse_m,orb_only,0.013434000,0.019281000,-0.005847000,-30.325190602
A10_400_800,400-800,online,drop,4,rpe_rmse_m,orb_only,0.012864000,0.020535000,-0.007671000,-37.355734112
