timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1700604894.078167,1,0,0,0,0,-1
1700604894.1781669,1,0,0,0,0,-1
1700604894.2781668,1,0,0,0,0,-1
1700604894.3781669,1,0,0,0,0,-1
1700604894.4781668,1,0,0,0,0,-1
1700604894.578167,1,0,0,0,0,-1
1700604894.6781669,1,0,0,0,0,-1
1700604894.7781668,1,0,0,0,0,-1
1700604894.8781669,1,0,0,0,0,-1
1700604894.9781668,1,0,0,0,0,-1
1700604895.078167,1,0,0,0,0,-1
1700604895.1781669,1,0,0,0,0,-1
1700604895.2781668,1,0,0,0,0,-1
1700604895.3781669,1,0,0,0,0,-1
1700604895.4781668,1,0,0,0,0,-1
1700604895.578167,1,0,0,0,0,-1
1700604895.6781669,1,0,0,0,0,-1
1700604895.7781668,1,0,0,0,0,-1
1700604895.8781669,1,0,0,0,0,-1
1700604895.9781668,1,0,0,0,0,-1
1700604896.078167,1,0,0,0,0,-1
1700604896.1781669,1,0,0,0,0,-1
1700604896.2781668,1,0,0,0,0,-1
1700604896.3781669,1,0,0,0,0,-1
1700604896.4781668,1,0,0,0,0,-1
1700604896.578167,1,0,0,0,0,-1
1700604896.6781669,1,0,0,0,0,-1
1700604896.7781668,1,0,0,0,0,-1
1700604896.8781669,1,0,0,0,0,-1
1700604896.9781668,1,0,0,0,0,-1
1700604897.078167,1,0,0,0,0,-1
1700604897.1781669,1,0,0,0,0,-1
1700604897.2781668,1,0,0,0,0,-1
1700604897.3781669,1,0,0,0,0,-1
1700604897.4781668,1,0,0,0,0,-1
1700604897.578167,1,0,0,0,0,-1
1700604897.6781669,1,0,0,0,0,-1
1700604897.7781668,1,0,0,0,0,-1
1700604897.8781669,1,0,0,0,0,-1
1700604897.9781668,1,0,0,0,0,-1
1700604898.078167,1,0,0,0,0,-1
1700604898.1781669,1,0,0,0,0,-1
1700604898.2781668,1,0,0,0,0,-1
1700604898.3781669,1,0,0,0,0,-1
1700604898.4781668,1,0,0,0,0,-1
1700604898.578167,1,0,0,0,0,-1
1700604898.6781669,1,0,0,0,0,-1
1700604898.7781668,1,0,0,0,0,-1
1700604898.8781669,1,0,0,0,0,-1
1700604898.9781668,1,0,0,0,0,-1
1700604899.078167,1,0,0,0,0,-1
1700604899.1781669,1,0,0,0,0,-1
1700604899.2781668,1,0,0,0,0,-1
1700604899.3781669,1,0,0,0,0,-1
1700604899.4781668,1,0,0,0,0,-1
1700604899.578167,1,0,0,0,0,-1
1700604899.6781669,1,0,0,0,0,-1
1700604899.7781668,1,0,0,0,0,-1
1700604899.8781669,1,0,0,0,0,-1
1700604899.9781668,1,0,0,0,0,-1
1700604900.078167,1,0,0,0,0,-1
1700604900.1781669,1,0,0,0,0,-1
1700604900.2781668,1,0,0,0,0,-1
1700604900.3781669,1,0,0,0,0,-1
1700604900.4781668,1,0,0,0,0,-1
1700604900.578167,1,0,0,0,0,-1
1700604900.6781669,1,0,0,0,0,-1
1700604900.7781668,1,0,0,0,0,-1
1700604900.8781669,1,0,0,0,0,-1
1700604900.9781668,1,0,0,0,0,-1
1700604901.078167,1,0,0,0,0,-1
1700604901.1781669,1,0,0,0,0,-1
1700604901.2781668,1,0,0,0,0,-1
1700604901.3781669,1,0,0,0,0,-1
1700604901.4781668,1,0,0,0,0,-1
1700604901.578167,1,0,0,0,0,-1
1700604901.6781669,1,0,0,0,0,-1
1700604901.7781668,1,0,0,0,0,-1
1700604901.8781669,1,0,0,0,0,-1
1700604901.9781668,1,0,0,0,0,-1
1700604902.078167,1,0,0,0,0,-1
1700604902.1781669,1,0,0,0,0,-1
1700604902.2781668,1,0,0,0,0,-1
1700604902.3781669,1,0,0,0,0,-1
1700604902.4781668,1,0,0,0,0,-1
1700604902.578167,1,0,0,0,0,-1
1700604902.6781669,1,0,0,0,0,-1
1700604902.7781668,1,0,0,0,0,-1
1700604902.8781669,1,0,0,0,0,-1
1700604902.9781668,1,0,0,0,0,-1
1700604903.078167,1,0,0,0,0,-1
1700604903.1781669,1,0,0,0,0,-1
1700604903.2781668,1,0,0,0,0,-1
1700604903.3781669,1,0,0,0,0,-1
1700604903.4781668,1,0,0,0,0,-1
1700604903.578167,1,0,0,0,0,-1
1700604903.6781669,1,0,0,0,0,-1
1700604903.7781668,1,0,0,0,0,-1
1700604903.8781669,1,0,0,0,0,-1
1700604903.9781668,1,0,0,0,0,-1
1700604904.078167,1,0,0,0,0,-1
1700604904.1781669,1,0,0,0,0,-1
1700604904.2781668,1,0,0,0,0,-1
1700604904.3781669,1,0,0,0,0,-1
1700604904.4781668,1,0,0,0,0,-1
1700604904.578167,1,0,0,0,0,-1
1700604904.6781669,1,0,0,0,0,-1
