case_id,cohort,official_fresh_20,independent_cluster,dataset_family,sequence,window,arm,run_dir,ape_rmse_m,rpe_rmse_m,ape_valid,rpe_valid,common_grid_count,common_matched_count,common_span_s,common_coverage,common_rpe_pairs,threshold_divergence,both_metrics_invalid,divergent_or_invalid,solver_risk,learned_track_ids,g0_summary,metric_contract
cirs_s575_d30,main,1,CIRS_s575_s600,cirs,cala_viuda,s575_d30,klt,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s575_d30_klt,2.224181351682484,0.3046973832433658,1,1,310,252,25.09999990463257,0.8129032258064516,242,0,0,0,1,5,papers/e3_g0_common_support/cirs_s575_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s900_d30,main,1,CIRS_s900,cirs,cala_viuda,s900_d30,full,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s900_d30_full,0.869839552586773,0.15132989249753367,1,1,309,258,25.700000047683716,0.8349514563106796,248,0,0,0,1,19,papers/e3_g0_common_support/cirs_s900_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s900_d30,main,1,CIRS_s900,cirs,cala_viuda,s900_d30,drop,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s900_d30_drop_lineage,1.017331039157686,0.16578541422923113,1,1,309,258,25.700000047683716,0.8349514563106796,248,0,0,0,0,19,papers/e3_g0_common_support/cirs_s900_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s900_d30,main,1,CIRS_s900,cirs,cala_viuda,s900_d30,klt,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s900_d30_klt,0.9195051187622566,0.15493084977076593,1,1,309,258,25.700000047683716,0.8349514563106796,248,0,0,0,1,19,papers/e3_g0_common_support/cirs_s900_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_5000_5400,secondary,1,AQUALOC_A09_5000,aqualoc_archaeo,A09,A09_5000-5400,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a09_5000_5400_full,1.2623805576263265,0.21582671649336294,0,1,20,13,16.0,0.65,11,0,0,0,1,7,papers/e3_g0_common_support/a09_5000_5400/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_5000_5400,secondary,1,AQUALOC_A09_5000,aqualoc_archaeo,A09,A09_5000-5400,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a09_5000_5400_drop_lineage,1.2945529770885176,0.22255969745795773,0,1,20,13,16.0,0.65,11,0,0,0,1,7,papers/e3_g0_common_support/a09_5000_5400/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_5000_5400,secondary,1,AQUALOC_A09_5000,aqualoc_archaeo,A09,A09_5000-5400,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a09_5000_5400_klt,1.0877887003698563,0.17658031884449563,0,1,20,13,16.0,0.65,11,0,0,0,1,7,papers/e3_g0_common_support/a09_5000_5400/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_7600_8000,secondary,1,AQUALOC_A02_7600,aqualoc_archaeo,A02,A02_7600-8000,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a02_7600_8000_full,0.05653560598781373,0.04509177026073065,0,1,20,15,14.0,0.75,14,0,0,0,1,13,papers/e3_g0_common_support/a02_7600_8000/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_7600_8000,secondary,1,AQUALOC_A02_7600,aqualoc_archaeo,A02,A02_7600-8000,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a02_7600_8000_drop_lineage,0.057988605998695895,0.04537455327163855,0,1,20,15,14.0,0.75,14,0,0,0,1,13,papers/e3_g0_common_support/a02_7600_8000/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_7600_8000,secondary,1,AQUALOC_A02_7600,aqualoc_archaeo,A02,A02_7600-8000,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_7600_8000_klt,0.09750672155876716,0.051800473568248614,0,1,20,15,14.0,0.75,14,0,0,0,1,13,papers/e3_g0_common_support/a02_7600_8000/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
mclab2_s110_d10,secondary,1,NTNU_mclab2_s110,ntnu,mclab2,mclab2_s110_d10,full,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab2_s110_d10_full,0.02344701748362512,0.01797244906191104,0,1,3048,68,6.799999952316284,0.02230971128608924,48,0,0,0,1,20,papers/e3_g0_common_support/mclab2_s110_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
