data_domain,dataset_family,degradation_scaled,degradation_score_p50,dropout_ratio_p50,dropout_scaled,flat_region_ratio_p50,flat_region_scaled,frame_score_p25,frame_score_p50,frame_score_p75,full_reference_support,grid_coverage_p50,grid_deficit_scaled,history_excluded,history_exclusion_reason,input_frame_count,protocol_version,protocol_version_v2,protocol_version_v3,quota_protocol,reference_coverage,reference_full_coverage,reference_grid_count,reference_support_pass,reference_support_reason,reference_supported_grid_count,score,selected_by_sequence_rule,selected_by_sequence_rule_v2,selected_by_sequence_rule_v3,selected_final,selection_tier,sequence,sequence_q20,sequence_q80,texture_stratum,texture_stratum_v2,window_end_s,window_id,window_index,window_start_s
AQUALOC archaeology,aqualoc_archaeology,0.16323823925519698,0.16323823925519698,0.03285714285714286,0.03285714285714286,0.08333333333333333,0.08333333333333333,0.13784006670232224,0.15021552461209958,0.16116092086162603,true,0.75,0.25,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.15021552461209958,false,false,false,false,,A02,,,history_excluded,history_excluded,90.0,aqualoc_archaeology:A02:0001,1,45.0
AQUALOC archaeology,aqualoc_archaeology,0.2396907540633033,0.2396907540633033,0.045714285714285714,0.045714285714285714,0.20833333333333334,0.20833333333333334,0.14076857652317643,0.18693869327182716,0.21948139196642527,true,0.8333333333333334,0.16666666666666663,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.18693869327182716,false,false,false,false,,A02,,,history_excluded,history_excluded,135.0,aqualoc_archaeology:A02:0002,2,90.0
AQUALOC archaeology,aqualoc_archaeology,0.274223400656906,0.274223400656906,0.08,0.08,0.16666666666666666,0.16666666666666666,0.17603817374395864,0.18627310672120023,0.20351529510606503,true,0.7916666666666666,0.20833333333333337,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.18627310672120023,false,false,false,false,,A02,,,history_excluded,history_excluded,180.0,aqualoc_archaeology:A02:0003,3,135.0
AQUALOC archaeology,aqualoc_archaeology,0.2951694370953127,0.2951694370953127,0.16857142857142857,0.16857142857142857,0.2916666666666667,0.2916666666666667,0.20070230539213,0.25275192849045514,0.2894244262679298,false,0.75,0.25,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,0.9130434782608695,0.9130434782608695,46,true,PASS_G0_REFERENCE_ONLY,42,0.25275192849045514,false,false,false,false,,A02,,,history_excluded,history_excluded,225.0,aqualoc_archaeology:A02:0004,4,180.0
AQUALOC archaeology,aqualoc_archaeology,0.18743359268463772,0.18743359268463772,0.014285714285714285,0.014285714285714285,0.125,0.125,0.12407623033472144,0.14448408239114113,0.17162402460359197,true,0.7083333333333334,0.29166666666666663,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.14448408239114113,true,false,true,true,RELATIVE_Q80_FALLBACK,A02,0.1297012854892036,0.1392678213216608,low,unclassified,270.0,aqualoc_archaeology:A02:0005,5,225.0
AQUALOC archaeology,aqualoc_archaeology,0.19556426370399682,0.19556426370399682,0.008571428571428572,0.008571428571428572,0.08333333333333333,0.08333333333333333,0.11122178138040553,0.12211363288450984,0.1375991995403789,true,0.7916666666666666,0.20833333333333337,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.12211363288450984,false,false,false,false,,A02,,,history_excluded,history_excluded,315.0,aqualoc_archaeology:A02:0006,6,270.0
AQUALOC archaeology,aqualoc_archaeology,0.14703644999861887,0.14703644999861887,0.008571428571428572,0.008571428571428572,0.08333333333333333,0.08333333333333333,0.12562291358435113,0.1314434297174403,0.13814914296116793,true,0.7083333333333334,0.29166666666666663,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.1314434297174403,false,false,false,false,,A02,0.1297012854892036,0.1392678213216608,unclassified,unclassified,360.0,aqualoc_archaeology:A02:0007,7,315.0
AQUALOC archaeology,aqualoc_archaeology,0.26452018784851333,0.26452018784851333,0.08857142857142856,0.08857142857142856,0.20833333333333334,0.20833333333333334,0.17009050117149602,0.18279079370156098,0.19302204412921864,true,0.8333333333333334,0.16666666666666663,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.18279079370156098,false,false,false,false,,A02,,,history_excluded,history_excluded,405.0,aqualoc_archaeology:A02:0008,8,360.0
AQUALOC archaeology,aqualoc_archaeology,0.16464794667641974,0.16464794667641974,0.008571428571428572,0.008571428571428572,0.08333333333333333,0.08333333333333333,0.12552143376436398,0.13449267374386265,0.15028593862603917,true,0.75,0.25,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.13449267374386265,false,false,false,false,,A03,0.13517396227779338,0.13721782787958553,unclassified,unclassified,45.0,aqualoc_archaeology:A03:0000,0,0.0
AQUALOC archaeology,aqualoc_archaeology,0.1432553320791623,0.1432553320791623,0.02,0.02,0.08333333333333333,0.08333333333333333,0.12754059284859692,0.13789911641351624,0.14914013130547202,true,0.7083333333333334,0.29166666666666663,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.13789911641351624,true,false,true,true,RELATIVE_Q80_FALLBACK,A03,0.13517396227779338,0.13721782787958553,low,unclassified,90.0,aqualoc_archaeology:A03:0001,1,45.0
AQUALOC archaeology,aqualoc_archaeology,0.2444369852394055,0.2444369852394055,0.017142857142857144,0.017142857142857144,0.16666666666666666,0.16666666666666666,0.13666172929155554,0.14957169625537597,0.16212951893903868,true,0.875,0.125,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.14957169625537597,false,false,false,false,,A03,,,history_excluded,history_excluded,135.0,aqualoc_archaeology:A03:0002,2,90.0
AQUALOC archaeology,aqualoc_archaeology,0.27920899878804306,0.27920899878804306,0.022857142857142857,0.022857142857142857,0.25,0.25,0.1475433945110262,0.181883662797152,0.20098734108863922,true,0.8333333333333334,0.16666666666666663,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.181883662797152,false,false,false,false,,A03,,,history_excluded,history_excluded,180.0,aqualoc_archaeology:A03:0003,3,135.0
AQUALOC archaeology,aqualoc_archaeology,0.21132340834437846,0.21132340834437846,0.04,0.04,0.16666666666666666,0.16666666666666666,0.15500963736278175,0.17270699181677845,0.18350866828415002,true,0.75,0.25,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.17270699181677845,false,false,false,false,,A03,,,history_excluded,history_excluded,225.0,aqualoc_archaeology:A03:0004,4,180.0
AQUALOC archaeology,aqualoc_archaeology,0.1937733457481513,0.1937733457481513,0.022857142857142857,0.022857142857142857,0.125,0.125,0.1429799735867084,0.16784695095823238,0.27381460949075076,false,0.7083333333333334,0.29166666666666663,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,0.8695652173913043,0.8695652173913043,46,true,PASS_G0_REFERENCE_ONLY,40,0.16784695095823238,false,false,false,false,,A03,,,history_excluded,history_excluded,270.0,aqualoc_archaeology:A03:0005,5,225.0
